Network,Role,ROI,ROIIndex
ASD_enhanced,Source,Frontal_Med_Orb_R,26
ASD_enhanced,Source,Cingulum_Post_R,36
ASD_enhanced,Source,Postcentral_L,57
ASD_enhanced,Source,Postcentral_R,58
ASD_enhanced,Source,Paracentral_Lobule_R,70
ASD_enhanced,Source,Caudate_R,72
ASD_enhanced,Source,Thalamus_R,78
ASD_enhanced,Target,Cingulum_Post_L,35
ASD_enhanced,Target,Cingulum_Post_R,36
ASD_enhanced,Target,Postcentral_L,57
ASD_enhanced,Target,Postcentral_R,58
ASD_enhanced,Target,Precuneus_R,68
ASD_enhanced,Target,Paracentral_Lobule_R,70
ASD_enhanced,Target,Caudate_R,72
ASD_enhanced,Target,Thalamus_R,78
ASD_diminished_TC_enhanced,Source,Calcarine_R,44
ASD_diminished_TC_enhanced,Source,Occipital_Sup_R,50
ASD_diminished_TC_enhanced,Source,Thalamus_L,77
ASD_diminished_TC_enhanced,Source,Thalamus_R,78
ASD_diminished_TC_enhanced,Source,Temporal_Sup_L,81
ASD_diminished_TC_enhanced,Source,Temporal_Sup_R,82
ASD_diminished_TC_enhanced,Target,Calcarine_R,44
ASD_diminished_TC_enhanced,Target,Occipital_Sup_R,50
ASD_diminished_TC_enhanced,Target,Thalamus_L,77
ASD_diminished_TC_enhanced,Target,Thalamus_R,78
ASD_diminished_TC_enhanced,Target,Temporal_Sup_L,81
ASD_diminished_TC_enhanced,Target,Temporal_Sup_R,82
ASD_diminished_TC_enhanced,Target,Temporal_Mid_L,85
ASD_diminished_TC_enhanced,Target,Temporal_Mid_R,86
