Rank,ROI,ROIIndex,TotalDifferenceScore,ASDEnhancedScore,TCEnhancedScore,NetScoreASDMinusTC,DominantDirection,StrongestSource,StrongestTarget,StrongestEdgeDifference,StrongestEdgeDirection
1,ROI_078,77,0.00014473150200495886,6.180134661736903e-05,8.293015538758982e-05,-2.1128808770220786e-05,TC_enhanced,ROI_072,ROI_078,0.000559559034472237,ASD_enhanced
2,ROI_077,76,0.00011779373369149687,4.763178116938741e-05,7.016195252210945e-05,-2.2530171352722047e-05,TC_enhanced,ROI_078,ROI_077,0.00041464219490686995,ASD_enhanced
3,ROI_088,87,0.00011234078961891764,6.0637394516600245e-05,5.170339510231739e-05,8.933999414282861e-06,ASD_enhanced,ROI_031,ROI_088,0.0003018905832359031,ASD_enhanced
4,ROI_068,67,0.00010843508484504484,5.1005820275200436e-05,5.74292645698444e-05,-6.423444294643969e-06,TC_enhanced,ROI_026,ROI_068,0.00046313460730118897,ASD_enhanced
5,ROI_032,31,0.0001055652577160477,5.777364527949947e-05,4.779161243654823e-05,9.982032842951237e-06,ASD_enhanced,ROI_026,ROI_032,0.00034779709890158175,ASD_enhanced
6,ROI_086,85,0.00010540265986934404,5.6875955104811626e-05,4.852670476453242e-05,8.349250340279206e-06,ASD_enhanced,ROI_078,ROI_086,-0.00039035059369921764,TC_enhanced
7,ROI_026,25,0.00010192036091647418,6.1596528209699e-05,4.032383270677516e-05,2.1272695502923837e-05,ASD_enhanced,ROI_026,ROI_068,0.00046313460730118897,ASD_enhanced
8,ROI_024,23,0.00010125787605399203,5.2714333363345714e-05,4.854354269064632e-05,4.170790672699392e-06,ASD_enhanced,ROI_014,ROI_024,-0.0003145041877210264,TC_enhanced
9,ROI_036,35,0.0001012262868786889,4.866332578609381e-05,5.256296109259508e-05,-3.89963530650127e-06,TC_enhanced,ROI_036,ROI_078,0.0004785810839893212,ASD_enhanced
10,ROI_076,75,9.9252197471667e-05,4.007966860077637e-05,5.9172528870890626e-05,-1.9092860270114262e-05,TC_enhanced,ROI_072,ROI_076,0.0003963312138511865,ASD_enhanced
