fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5918367346938775,0.3617021276595745,0.6118064246975387,0.5774647887323944,0.803921568627451,0.6721311475409836
2,1,0.4387755102040816,0.2978723404255319,0.4188569044639132,0.46774193548387094,0.5686274509803921,0.5132743362831859
3,1,0.46938775510204084,0.45652173913043476,0.47491638795986624,0.5,0.4807692307692308,0.49019607843137253
4,1,0.5102040816326531,0.34782608695652173,0.532190635451505,0.53125,0.6538461538461539,0.5862068965517241
5,1,0.47959183673469385,0.782608695652174,0.49874581939799334,0.5238095238095238,0.21153846153846154,0.3013698630136986
6,1,0.4639175257731959,0.6521739130434783,0.4936061381074169,0.4838709677419355,0.29411764705882354,0.36585365853658536
7,1,0.5463917525773195,0.5434782608695652,0.5690537084398977,0.5714285714285714,0.5490196078431373,0.56
8,1,0.4742268041237113,0.5434782608695652,0.49211423699914747,0.5,0.4117647058823529,0.45161290322580644
9,1,0.5154639175257731,0.021739130434782608,0.41091219096334186,0.5212765957446809,0.9607843137254902,0.6758620689655173
10,1,0.5154639175257731,0.45652173913043476,0.5392156862745098,0.5370370370370371,0.5686274509803921,0.5523809523809524
