fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5569620253164557,0.803921568627451,0.5091036414565826,0.23076923076923078,0.10714285714285714,0.14634146341463414
2,1,0.4936708860759494,0.3333333333333333,0.5679271708683474,0.39285714285714285,0.7857142857142857,0.5238095238095238
3,1,0.6582278481012658,0.9215686274509803,0.5658263305322129,0.5555555555555556,0.17857142857142858,0.2702702702702703
4,1,0.4430379746835443,0.5686274509803921,0.3669467787114846,0.21428571428571427,0.21428571428571427,0.21428571428571427
5,1,0.43037974683544306,0.19607843137254902,0.4817927170868347,0.36923076923076925,0.8571428571428571,0.5161290322580645
6,1,0.4936708860759494,0.43137254901960786,0.46708683473389356,0.3695652173913043,0.6071428571428571,0.4594594594594595
7,1,0.620253164556962,0.8431372549019608,0.5665266106442577,0.42857142857142855,0.21428571428571427,0.2857142857142857
8,1,0.4430379746835443,0.21568627450980393,0.5336134453781514,0.375,0.8571428571428571,0.5217391304347826
9,1,0.47435897435897434,0.24,0.5885714285714285,0.3968253968253968,0.8928571428571429,0.5494505494505495
10,1,0.5256410256410257,0.7,0.4,0.2857142857142857,0.21428571428571427,0.24489795918367346
