fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.4431818181818182,0.7560975609756098,0.4052932018681889,0.4444444444444444,0.1702127659574468,0.24615384615384617
2,1,0.5057471264367817,0.6097560975609756,0.5053022269353129,0.5428571428571428,0.41304347826086957,0.4691358024691358
3,1,0.4827586206896552,0.5365853658536586,0.4557264050901378,0.5128205128205128,0.43478260869565216,0.47058823529411764
4,1,0.5747126436781609,0.575,0.5670212765957447,0.6136363636363636,0.574468085106383,0.5934065934065934
5,1,0.5977011494252874,0.575,0.5792553191489361,0.6304347826086957,0.6170212765957447,0.6236559139784946
6,1,0.5172413793103449,0.0,0.4675531914893617,0.5294117647058824,0.9574468085106383,0.6818181818181818
7,1,0.4367816091954023,0.7,0.4797872340425532,0.45454545454545453,0.2127659574468085,0.2898550724637681
8,1,0.4482758620689655,0.95,0.3952127659574468,0.3333333333333333,0.02127659574468085,0.04
9,1,0.45977011494252873,0.5,0.4558510638297872,0.5,0.425531914893617,0.45977011494252873
10,1,0.42528735632183906,0.8,0.5047872340425532,0.38461538461538464,0.10638297872340426,0.16666666666666666
