fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5,0.7254901960784313,0.557363370880267,0.46153846153846156,0.2553191489361702,0.3287671232876712
2,1,0.6530612244897959,0.9019607843137255,0.670421360033375,0.782608695652174,0.3829787234042553,0.5142857142857142
3,1,0.5918367346938775,0.6153846153846154,0.6316889632107023,0.5652173913043478,0.5652173913043478,0.5652173913043478
4,1,0.6428571428571429,0.5384615384615384,0.6856187290969901,0.5932203389830508,0.7608695652173914,0.6666666666666666
5,1,0.5816326530612245,0.4423076923076923,0.5990802675585285,0.5396825396825397,0.7391304347826086,0.6238532110091743
6,1,0.6391752577319587,0.8235294117647058,0.6687979539641944,0.6896551724137931,0.43478260869565216,0.5333333333333333
7,1,0.5876288659793815,0.45098039215686275,0.6526001705029838,0.5483870967741935,0.7391304347826086,0.6296296296296297
8,1,0.5876288659793815,0.43137254901960786,0.6841432225063939,0.546875,0.7608695652173914,0.6363636363636364
9,1,0.5154639175257731,0.49019607843137253,0.5622335890878091,0.49019607843137253,0.5434782608695652,0.5154639175257731
10,1,0.5773195876288659,0.8431372549019608,0.6253196930946292,0.6190476190476191,0.2826086956521739,0.3880597014925373
