fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.620253164556962,0.7254901960784313,0.6337535014005602,0.46153846153846156,0.42857142857142855,0.4444444444444444
2,1,0.569620253164557,0.45098039215686275,0.6757703081232493,0.44,0.7857142857142857,0.5641025641025641
3,1,0.46835443037974683,0.39215686274509803,0.5273109243697479,0.3541666666666667,0.6071428571428571,0.4473684210526316
4,1,0.6708860759493671,0.9019607843137255,0.5875350140056022,0.5833333333333334,0.25,0.35
5,1,0.5443037974683544,0.49019607843137253,0.6134453781512605,0.4090909090909091,0.6428571428571429,0.5
6,1,0.5189873417721519,0.6666666666666666,0.4684873949579832,0.2916666666666667,0.25,0.2692307692307692
7,1,0.569620253164557,0.6666666666666666,0.6057422969187676,0.39285714285714285,0.39285714285714285,0.39285714285714285
8,1,0.5949367088607594,0.6274509803921569,0.6162464985994398,0.4411764705882353,0.5357142857142857,0.4838709677419355
9,1,0.5128205128205128,0.38,0.5864285714285714,0.40384615384615385,0.75,0.525
10,1,0.6282051282051282,0.94,0.557142857142857,0.4,0.07142857142857142,0.12121212121212122
