fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5909090909090909,0.3902439024390244,0.6113129216398547,0.5901639344262295,0.7659574468085106,0.6666666666666666
2,1,0.45977011494252873,0.4146341463414634,0.4936373276776246,0.48936170212765956,0.5,0.4946236559139785
3,1,0.47126436781609193,1.0,0.5100742311770945,0.0,0.0,0.0
4,1,0.45977011494252873,0.4,0.4329787234042553,0.5,0.5106382978723404,0.5052631578947369
5,1,0.5402298850574713,0.15,0.4803191489361702,0.5466666666666666,0.8723404255319149,0.6721311475409836
6,1,0.5632183908045977,0.45,0.5058510638297873,0.5849056603773585,0.6595744680851063,0.62
7,1,0.45977011494252873,0.5,0.4957446808510638,0.5,0.425531914893617,0.45977011494252873
8,1,0.4942528735632184,0.825,0.4611702127659575,0.5882352941176471,0.2127659574468085,0.3125
9,1,0.42528735632183906,0.875,0.4510638297872341,0.2857142857142857,0.0425531914893617,0.07407407407407407
10,1,0.5057471264367817,0.2,0.500531914893617,0.5294117647058824,0.7659574468085106,0.6260869565217392
