fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.46938775510204084,0.2978723404255319,0.4551522736754276,0.49230769230769234,0.6274509803921569,0.5517241379310345
2,1,0.5612244897959183,0.48936170212765956,0.57363370880267,0.5714285714285714,0.6274509803921569,0.5981308411214953
3,1,0.4387755102040816,0.6304347826086957,0.41722408026755853,0.45161290322580644,0.2692307692307692,0.3373493975903614
4,1,0.5204081632653061,0.21739130434782608,0.459866220735786,0.5324675324675324,0.7884615384615384,0.6356589147286822
5,1,0.5102040816326531,0.06521739130434782,0.5045986622073578,0.5222222222222223,0.9038461538461539,0.6619718309859155
6,1,0.5154639175257731,0.9130434782608695,0.5319693094629155,0.6666666666666666,0.1568627450980392,0.25396825396825395
7,1,0.3917525773195876,0.391304347826087,0.4296675191815857,0.4166666666666667,0.39215686274509803,0.40404040404040403
8,1,0.44329896907216493,0.7391304347826086,0.4688832054560954,0.42857142857142855,0.17647058823529413,0.25
9,1,0.5670103092783505,0.391304347826087,0.592071611253197,0.5692307692307692,0.7254901960784313,0.6379310344827587
10,1,0.5154639175257731,0.34782608695652173,0.47612958226768964,0.53125,0.6666666666666666,0.591304347826087
