fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5681818181818182,0.7073170731707317,0.6258432797093929,0.6363636363636364,0.44680851063829785,0.525
2,1,0.5517241379310345,0.17073170731707318,0.5381760339342523,0.5466666666666666,0.8913043478260869,0.6776859504132231
3,1,0.41379310344827586,0.4146341463414634,0.39289501590668074,0.4418604651162791,0.41304347826086957,0.42696629213483145
4,1,0.4942528735632184,0.1,0.34787234042553195,0.52,0.8297872340425532,0.639344262295082
5,1,0.5517241379310345,0.15,0.5117021276595745,0.5526315789473685,0.8936170212765957,0.6829268292682927
6,1,0.5287356321839081,0.0,0.45079787234042556,0.5348837209302325,0.9787234042553191,0.6917293233082706
7,1,0.5632183908045977,0.2,0.6218085106382979,0.5616438356164384,0.8723404255319149,0.6833333333333333
8,1,0.47126436781609193,0.65,0.5015957446808511,0.5172413793103449,0.3191489361702128,0.39473684210526316
9,1,0.5632183908045977,0.3,0.5622340425531914,0.5692307692307692,0.7872340425531915,0.6607142857142857
10,1,0.4942528735632184,0.25,0.5180851063829787,0.5238095238095238,0.7021276595744681,0.6
