fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5,0.5098039215686274,0.5310805173133083,0.4791666666666667,0.48936170212765956,0.4842105263157895
2,1,0.5510204081632653,0.6078431372549019,0.5782227784730914,0.5348837209302325,0.48936170212765956,0.5111111111111111
3,1,0.5204081632653061,0.5769230769230769,0.5455685618729097,0.4883720930232558,0.45652173913043476,0.47191011235955055
4,1,0.5,0.7884615384615384,0.5677257525083612,0.42105263157894735,0.17391304347826086,0.24615384615384617
5,1,0.46938775510204084,0.23076923076923078,0.37918060200668896,0.4594594594594595,0.7391304347826086,0.5666666666666667
6,1,0.5979381443298969,0.6078431372549019,0.5664961636828645,0.574468085106383,0.5869565217391305,0.5806451612903226
7,1,0.5257731958762887,0.35294117647058826,0.5541346973572038,0.5,0.717391304347826,0.5892857142857143
8,1,0.4948453608247423,0.21568627450980393,0.5741687979539642,0.4805194805194805,0.8043478260869565,0.6016260162601627
9,1,0.4020618556701031,0.35294117647058826,0.3840579710144928,0.3888888888888889,0.45652173913043476,0.42
10,1,0.4742268041237113,0.27450980392156865,0.47740835464620635,0.463768115942029,0.6956521739130435,0.5565217391304348
