fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.6075949367088608,0.5686274509803921,0.6099439775910364,0.4634146341463415,0.6785714285714286,0.5507246376811594
2,1,0.5443037974683544,0.49019607843137253,0.5791316526610645,0.4090909090909091,0.6428571428571429,0.5
3,1,0.43037974683544306,0.21568627450980393,0.538515406162465,0.36507936507936506,0.8214285714285714,0.5054945054945055
4,1,0.5569620253164557,0.5294117647058824,0.5875350140056023,0.4146341463414634,0.6071428571428571,0.4927536231884058
5,1,0.43037974683544306,0.21568627450980393,0.5224089635854341,0.36507936507936506,0.8214285714285714,0.5054945054945055
6,1,0.4810126582278481,0.47058823529411764,0.4957983193277311,0.34146341463414637,0.5,0.4057971014492754
7,1,0.4810126582278481,0.39215686274509803,0.4740896358543418,0.3673469387755102,0.6428571428571429,0.4675324675324675
8,1,0.5569620253164557,0.5686274509803921,0.5798319327731093,0.40540540540540543,0.5357142857142857,0.46153846153846156
9,1,0.41025641025641024,0.1,0.5564285714285714,0.375,0.9642857142857143,0.54
10,1,0.358974358974359,0.0,0.5692857142857143,0.358974358974359,1.0,0.5283018867924528
