fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.4659090909090909,0.7804878048780488,0.5303580695381422,0.5,0.19148936170212766,0.27692307692307694
2,1,0.40229885057471265,0.17073170731707318,0.3107104984093319,0.45161290322580644,0.6086956521739131,0.5185185185185185
3,1,0.4482758620689655,0.926829268292683,0.49893955461293743,0.25,0.021739130434782608,0.04
4,1,0.4367816091954023,0.45,0.3978723404255319,0.47619047619047616,0.425531914893617,0.449438202247191
5,1,0.4942528735632184,0.575,0.5138297872340426,0.5405405405405406,0.425531914893617,0.47619047619047616
6,1,0.5172413793103449,0.025,0.49787234042553186,0.5301204819277109,0.9361702127659575,0.676923076923077
7,1,0.47126436781609193,0.95,0.5180851063829787,0.6,0.06382978723404255,0.11538461538461539
8,1,0.39080459770114945,0.475,0.3718085106382979,0.4166666666666667,0.3191489361702128,0.3614457831325301
9,1,0.4367816091954023,0.5,0.43936170212765957,0.47368421052631576,0.3829787234042553,0.4235294117647059
10,1,0.4827586206896552,0.725,0.5659574468085107,0.5416666666666666,0.2765957446808511,0.36619718309859156
