fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5102040816326531,0.46808510638297873,0.5047976637463496,0.5283018867924528,0.5490196078431373,0.5384615384615384
2,1,0.5102040816326531,0.8297872340425532,0.5390070921985816,0.5789473684210527,0.21568627450980393,0.3142857142857143
3,1,0.5816326530612245,0.34782608695652173,0.5572742474916388,0.5774647887323944,0.7884615384615384,0.6666666666666666
4,1,0.5816326530612245,0.717391304347826,0.5430602006688963,0.6486486486486487,0.46153846153846156,0.5393258426966292
5,1,0.45918367346938777,0.8913043478260869,0.4945652173913043,0.4444444444444444,0.07692307692307693,0.13114754098360656
6,1,0.5773195876288659,0.6521739130434783,0.5537084398976982,0.6190476190476191,0.5098039215686274,0.5591397849462365
7,1,0.5154639175257731,0.13043478260869565,0.38832054560954815,0.5238095238095238,0.8627450980392157,0.6518518518518519
8,1,0.5463917525773195,0.7391304347826086,0.5579710144927537,0.6129032258064516,0.37254901960784315,0.4634146341463415
9,1,0.4845360824742268,0.2391304347826087,0.4288150042625746,0.5070422535211268,0.7058823529411765,0.5901639344262295
10,1,0.4536082474226804,0.2826086956521739,0.45907928388746805,0.484375,0.6078431372549019,0.5391304347826087
