fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5816326530612245,0.6078431372549019,0.6120150187734669,0.5652173913043478,0.5531914893617021,0.5591397849462365
2,1,0.5714285714285714,0.6666666666666666,0.6032540675844806,0.5641025641025641,0.46808510638297873,0.5116279069767442
3,1,0.5,0.7115384615384616,0.4962374581939799,0.4444444444444444,0.2608695652173913,0.3287671232876712
4,1,0.5816326530612245,0.4807692307692308,0.6459030100334447,0.5423728813559322,0.6956521739130435,0.6095238095238096
5,1,0.5408163265306123,0.6923076923076923,0.6379598662207357,0.5151515151515151,0.3695652173913043,0.43037974683544306
6,1,0.5979381443298969,0.7843137254901961,0.6406649616368287,0.6206896551724138,0.391304347826087,0.48
7,1,0.5979381443298969,0.5098039215686274,0.6346973572037511,0.5614035087719298,0.6956521739130435,0.6213592233009708
8,1,0.6288659793814433,0.5490196078431373,0.6359761295822677,0.5892857142857143,0.717391304347826,0.6470588235294118
9,1,0.5670103092783505,0.37254901960784315,0.6082693947144074,0.5294117647058824,0.782608695652174,0.631578947368421
10,1,0.4845360824742268,0.21568627450980393,0.469309462915601,0.47368421052631576,0.782608695652174,0.5901639344262295
