fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5909090909090909,0.7021276595744681,0.5983393876491956,0.5757575757575758,0.4634146341463415,0.5135135135135135
2,1,0.4482758620689655,0.32608695652173914,0.546659597030753,0.43636363636363634,0.5853658536585366,0.5
3,1,0.5632183908045977,0.7608695652173914,0.6203605514316013,0.56,0.34146341463414637,0.42424242424242425
4,1,0.47126436781609193,0.06382978723404255,0.6542553191489362,0.4634146341463415,0.95,0.6229508196721312
5,1,0.42528735632183906,0.2553191489361702,0.4367021276595745,0.4166666666666667,0.625,0.5
6,1,0.5632183908045977,0.9361702127659575,0.5680851063829787,0.625,0.125,0.20833333333333334
7,1,0.4942528735632184,0.10638297872340426,0.6425531914893616,0.475,0.95,0.6333333333333333
8,1,0.5287356321839081,0.7659574468085106,0.601063829787234,0.47619047619047616,0.25,0.32786885245901637
9,1,0.4367816091954023,0.02127659574468085,0.43404255319148943,0.4457831325301205,0.925,0.6016260162601627
10,1,0.5402298850574713,0.6382978723404256,0.5627659574468085,0.5,0.425,0.4594594594594595
