fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.47959183673469385,0.2549019607843137,0.5181476846057571,0.4722222222222222,0.723404255319149,0.5714285714285714
2,1,0.5408163265306123,1.0,0.5506883604505632,1.0,0.0425531914893617,0.08163265306122448
3,1,0.5714285714285714,0.6538461538461539,0.5744147157190636,0.55,0.4782608695652174,0.5116279069767442
4,1,0.4897959183673469,0.4230769230769231,0.5576923076923077,0.4642857142857143,0.5652173913043478,0.5098039215686274
5,1,0.4897959183673469,0.2692307692307692,0.4908026755852843,0.4722222222222222,0.7391304347826086,0.576271186440678
6,1,0.5979381443298969,0.8627450980392157,0.6150895140664961,0.6666666666666666,0.30434782608695654,0.417910447761194
7,1,0.4845360824742268,0.29411764705882354,0.5068201193520887,0.47058823529411764,0.6956521739130435,0.5614035087719298
8,1,0.5360824742268041,0.37254901960784315,0.5890878090366581,0.5076923076923077,0.717391304347826,0.5945945945945946
9,1,0.5360824742268041,0.803921568627451,0.4872122762148338,0.5238095238095238,0.2391304347826087,0.3283582089552239
10,1,0.5257731958762887,0.6862745098039216,0.5805626598465473,0.5,0.34782608695652173,0.41025641025641024
