fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5822784810126582,0.9019607843137255,0.5035014005602241,0.0,0.0,0.0
2,1,0.6329113924050633,0.9215686274509803,0.5168067226890756,0.42857142857142855,0.10714285714285714,0.17142857142857143
3,1,0.5569620253164557,0.6470588235294118,0.5973389355742298,0.3793103448275862,0.39285714285714285,0.38596491228070173
4,1,0.5949367088607594,0.7254901960784313,0.5056022408963585,0.4166666666666667,0.35714285714285715,0.38461538461538464
5,1,0.6075949367088608,0.7647058823529411,0.592436974789916,0.42857142857142855,0.32142857142857145,0.3673469387755102
6,1,0.6329113924050633,0.9019607843137255,0.4404761904761906,0.4444444444444444,0.14285714285714285,0.21621621621621623
7,1,0.6708860759493671,0.7254901960784313,0.6743697478991597,0.5333333333333333,0.5714285714285714,0.5517241379310345
8,1,0.46835443037974683,0.5490196078431373,0.44817927170868344,0.28125,0.32142857142857145,0.3
9,1,0.34615384615384615,0.0,0.5535714285714286,0.35064935064935066,0.9642857142857143,0.5142857142857142
10,1,0.38461538461538464,0.2,0.42428571428571427,0.3333333333333333,0.7142857142857143,0.45454545454545453
