fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5454545454545454,0.8723404255319149,0.5697976128697458,0.5384615384615384,0.17073170731707318,0.25925925925925924
2,1,0.4942528735632184,0.9347826086956522,0.4533404029692471,0.0,0.0,0.0
3,1,0.47126436781609193,0.21739130434782608,0.4565217391304348,0.4626865671641791,0.7560975609756098,0.5740740740740741
4,1,0.47126436781609193,0.3191489361702128,0.49893617021276593,0.4482758620689655,0.65,0.5306122448979592
5,1,0.4482758620689655,0.1702127659574468,0.5409574468085107,0.44285714285714284,0.775,0.5636363636363636
6,1,0.5402298850574713,0.2978723404255319,0.5521276595744681,0.5,0.825,0.6226415094339622
7,1,0.5632183908045977,0.2978723404255319,0.647340425531915,0.5147058823529411,0.875,0.6481481481481481
8,1,0.5402298850574713,0.7021276595744681,0.4851063829787234,0.5,0.35,0.4117647058823529
9,1,0.5862068965517241,0.3191489361702128,0.5702127659574467,0.5294117647058824,0.9,0.6666666666666666
10,1,0.5517241379310345,0.2127659574468085,0.5808510638297872,0.5066666666666667,0.95,0.6608695652173913
