fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.46938775510204084,0.46808510638297873,0.4534835210680017,0.4897959183673469,0.47058823529411764,0.48
2,1,0.4489795918367347,0.7021276595744681,0.4643304130162703,0.44,0.21568627450980393,0.2894736842105263
3,1,0.5,0.5,0.4928929765886288,0.5306122448979592,0.5,0.5148514851485149
4,1,0.6122448979591837,0.2391304347826087,0.6112040133779265,0.5833333333333334,0.9423076923076923,0.7205882352941176
5,1,0.4897959183673469,0.43478260869565216,0.48829431438127086,0.5185185185185185,0.5384615384615384,0.5283018867924528
6,1,0.4948453608247423,0.2391304347826087,0.4752770673486787,0.5138888888888888,0.7254901960784313,0.6016260162601627
7,1,0.6185567010309279,0.3695652173913043,0.6040068201193521,0.5972222222222222,0.8431372549019608,0.6991869918699187
8,1,0.4845360824742268,0.6521739130434783,0.5447570332480818,0.5151515151515151,0.3333333333333333,0.40476190476190477
9,1,0.4639175257731959,0.21739130434782608,0.4207161125319693,0.49295774647887325,0.6862745098039216,0.5737704918032787
10,1,0.5154639175257731,0.43478260869565216,0.5221653878942881,0.5357142857142857,0.5882352941176471,0.5607476635514018
