fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.6233766233766234,0.673469387755102,0.6151603498542273,0.4838709677419355,0.5357142857142857,0.5084745762711864
2,1,0.45454545454545453,0.32653061224489793,0.5823615160349854,0.36538461538461536,0.6785714285714286,0.475
3,1,0.6103896103896104,0.4489795918367347,0.7062682215743441,0.4807692307692308,0.8928571428571429,0.625
4,1,0.4935064935064935,0.5102040816326531,0.500728862973761,0.35135135135135137,0.4642857142857143,0.4
5,1,0.6103896103896104,0.8367346938775511,0.6545189504373178,0.42857142857142855,0.21428571428571427,0.2857142857142857
6,1,0.5064935064935064,0.5102040816326531,0.543002915451895,0.3684210526315789,0.5,0.42424242424242425
7,1,0.6363636363636364,0.7959183673469388,0.5998542274052477,0.5,0.35714285714285715,0.4166666666666667
8,1,0.6363636363636364,0.7346938775510204,0.620991253644315,0.5,0.4642857142857143,0.48148148148148145
9,1,0.5789473684210527,0.625,0.5773809523809524,0.4375,0.5,0.4666666666666667
10,1,0.5921052631578947,0.5833333333333334,0.6376488095238095,0.4594594594594595,0.6071428571428571,0.5230769230769231
