fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5,0.17647058823529413,0.5244055068836044,0.4878048780487805,0.851063829787234,0.6201550387596899
2,1,0.5816326530612245,0.43137254901960786,0.5969962453066334,0.546875,0.7446808510638298,0.6306306306306306
3,1,0.47959183673469385,0.07692307692307693,0.4456521739130435,0.4725274725274725,0.9347826086956522,0.6277372262773723
4,1,0.46938775510204084,0.38461538461538464,0.49205685618729095,0.4482758620689655,0.5652173913043478,0.5
5,1,0.42857142857142855,0.11538461538461539,0.45944816053511706,0.43902439024390244,0.782608695652174,0.5625
6,1,0.422680412371134,0.21568627450980393,0.4867860187553282,0.42857142857142855,0.6521739130434783,0.5172413793103449
7,1,0.5154639175257731,0.9411764705882353,0.5063938618925832,0.4,0.043478260869565216,0.0784313725490196
8,1,0.4948453608247423,0.17647058823529413,0.4757033248081841,0.48148148148148145,0.8478260869565217,0.6141732283464567
9,1,0.5463917525773195,0.9803921568627451,0.5302642796248934,0.75,0.06521739130434782,0.12
10,1,0.5257731958762887,0.37254901960784315,0.5430520034100597,0.5,0.6956521739130435,0.5818181818181818
