fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5568181818181818,0.04878048780487805,0.49610793980280227,0.5465116279069767,1.0,0.706766917293233
2,1,0.5057471264367817,0.12195121951219512,0.4188759278897136,0.52,0.8478260869565217,0.6446280991735537
3,1,0.5402298850574713,0.4878048780487805,0.5710498409331919,0.5625,0.5869565217391305,0.574468085106383
4,1,0.5632183908045977,0.425,0.5484042553191488,0.5818181818181818,0.6808510638297872,0.6274509803921569
5,1,0.5172413793103449,0.15,0.5069148936170212,0.5342465753424658,0.8297872340425532,0.65
6,1,0.5287356321839081,0.225,0.46914893617021275,0.5441176470588235,0.7872340425531915,0.6434782608695652
7,1,0.4942528735632184,0.825,0.6069148936170212,0.5882352941176471,0.2127659574468085,0.3125
8,1,0.5057471264367817,0.05,0.5946808510638298,0.525,0.8936170212765957,0.6614173228346457
9,1,0.4827586206896552,0.75,0.5090425531914894,0.5454545454545454,0.2553191489361702,0.34782608695652173
10,1,0.5287356321839081,0.7,0.6047872340425532,0.6,0.3829787234042553,0.4675324675324675
