fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5681818181818182,0.8085106382978723,0.5708354955889985,0.5714285714285714,0.2926829268292683,0.3870967741935484
2,1,0.5747126436781609,0.5652173913043478,0.5959703075291624,0.5454545454545454,0.5853658536585366,0.5647058823529412
3,1,0.6896551724137931,0.7391304347826086,0.7476139978791092,0.6842105263157895,0.6341463414634146,0.6582278481012658
4,1,0.5287356321839081,0.3617021276595745,0.6414893617021276,0.4915254237288136,0.725,0.5858585858585859
5,1,0.5977011494252874,0.7659574468085106,0.6239361702127659,0.5925925925925926,0.4,0.47761194029850745
6,1,0.5862068965517241,0.6808510638297872,0.6287234042553191,0.5588235294117647,0.475,0.5135135135135135
7,1,0.5747126436781609,0.5531914893617021,0.6255319148936171,0.5333333333333333,0.6,0.5647058823529412
8,1,0.5862068965517241,0.5106382978723404,0.597872340425532,0.54,0.675,0.6
9,1,0.4942528735632184,0.44680851063829785,0.5223404255319148,0.4583333333333333,0.55,0.5
10,1,0.5632183908045977,0.6382978723404256,0.6053191489361702,0.5277777777777778,0.475,0.5
