fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5408163265306123,0.7450980392156863,0.5798915310805173,0.5357142857142857,0.3191489361702128,0.4
2,1,0.5714285714285714,0.47058823529411764,0.6307884856070087,0.5423728813559322,0.6808510638297872,0.6037735849056604
3,1,0.5102040816326531,0.5,0.5188127090301003,0.48,0.5217391304347826,0.5
4,1,0.5102040816326531,0.6346153846153846,0.5823578595317725,0.4722222222222222,0.3695652173913043,0.4146341463414634
5,1,0.5510204081632653,0.46153846153846156,0.572324414715719,0.5172413793103449,0.6521739130434783,0.5769230769230769
6,1,0.5360824742268041,0.35294117647058826,0.6594202898550726,0.5074626865671642,0.7391304347826086,0.6017699115044248
7,1,0.5773195876288659,0.7450980392156863,0.6287297527706736,0.5806451612903226,0.391304347826087,0.4675324675324675
8,1,0.5876288659793815,0.6274509803921569,0.5775788576300085,0.5681818181818182,0.5434782608695652,0.5555555555555556
9,1,0.5567010309278351,0.35294117647058826,0.659846547314578,0.5217391304347826,0.782608695652174,0.6260869565217392
10,1,0.5979381443298969,0.7647058823529411,0.6167945439045184,0.6129032258064516,0.41304347826086957,0.4935064935064935
