fold,original_ACC,original_AUC,original_F1,original_Precision,original_Recall,original_SPE,original_bec_centroid_distance,original_bec_fisher_ratio,original_bec_within_dispersion,original_edge_abs_d_change,original_edges_abs_d_gt_0p5,original_max_abs_d,original_mean_abs_d,original_paired_auc_delta_mean,original_variance_retention,qc_refined_ACC,qc_refined_AUC,qc_refined_F1,qc_refined_Precision,qc_refined_Recall,qc_refined_SPE,qc_refined_bec_centroid_distance,qc_refined_bec_fisher_ratio,qc_refined_bec_within_dispersion,qc_refined_edge_abs_d_change,qc_refined_edges_abs_d_gt_0p5,qc_refined_gate_loss,qc_refined_max_abs_d,qc_refined_mean_abs_d,qc_refined_paired_auc_delta_mean,qc_refined_pseudo_loss,qc_refined_qsr_basis_abs_mean,qc_refined_qsr_direction_abs_mean,qc_refined_qsr_effective_coefficient_abs_mean,qc_refined_qsr_effective_coefficient_mean,qc_refined_qsr_gate_max,qc_refined_qsr_gate_mean,qc_refined_qsr_loss,qc_refined_qsr_pseudo_relative_change,qc_refined_qsr_refined_relative_change,qc_refined_qsr_sensitive_map_mean,qc_refined_restore_loss,qc_refined_variance_loss,qc_refined_variance_retention,refined_ACC,refined_AUC,refined_F1,refined_Precision,refined_Recall,refined_SPE,refined_anchor_loss,refined_bec_centroid_distance,refined_bec_fisher_ratio,refined_bec_within_dispersion,refined_edge_abs_d_change,refined_edges_abs_d_gt_0p5,refined_gate_fraction_above_0p01,refined_gate_loss,refined_gate_max,refined_gate_mean,refined_max_abs_d,refined_mean_abs_d,refined_paired_auc_delta_mean,refined_refiner_loss,refined_variance_loss,refined_variance_retention
1,0.5568181818181818,0.6606123508043591,0.6422018348623854,0.5645161290322581,0.7446808510638298,0.34146341463414637,19.704416276039638,0.052037566189192204,86.3783861595116,0.0,225,0.7358182406562619,0.18122487276932606,0.0,1.0,0.5795454545454546,0.6600934094447328,0.6336633663366337,0.5925925925925926,0.6808510638297872,0.4634146341463415,19.704416276038867,0.05203756618918818,86.37838615951156,0.0,225,1.0307782405405419e-11,0.7358182406562619,0.18122487276931748,-0.0005189413596262682,0.00013830933312419802,0.0831785574555397,0.9888888597488403,1.0235857300644469e-11,1.0235857300644469e-11,3.2455285126076205e-09,1.0235868576347062e-11,0.0012354282662272453,0.013630586676299572,5.480744981120611e-13,0.3151736259460449,0.0010971189476549625,0.0,1.0,0.6136363636363636,0.6678775298391282,0.66,0.6226415094339622,0.7021276595744681,0.5121951219512195,5.0998110964428633e-05,19.594533663799528,0.052059721829142765,85.87841303604257,1.379847526550293e-05,225,0.6892101168632507,0.020373478531837463,0.051992494612932205,0.020318305119872093,0.733191203291337,0.18123867170628705,0.007265179034769087,7.137159263947979e-05,0.0,0.9889225959777832
2,0.6551724137931034,0.7094379639448569,0.7222222222222222,0.6290322580645161,0.8478260869565217,0.43902439024390244,19.749259453374133,0.050912823413759245,87.52602882856391,0.0,200,0.8332536076586353,0.17753291385779893,0.0,1.0,0.632183908045977,0.6786850477200423,0.6,0.7058823529411765,0.5217391304347826,0.7560975609756098,19.74925969343041,0.05091282325827331,87.52603002611133,0.0,200,3.18205596420984e-12,0.8332536064219361,0.17753291402686566,-0.030752916224814575,0.0001292730594286695,0.07952701300382614,0.9888657927513123,3.477304488797017e-08,-3.477304488797017e-08,1.499518731407079e-07,3.477403254237288e-08,0.0012852554209530354,0.013134396634995937,3.015076543988471e-08,0.2950386703014374,0.001155982376076281,0.0,1.0,0.7471264367816092,0.7751855779427359,0.7708333333333334,0.74,0.8043478260869565,0.6829268292682927,2.3360798877547495e-05,19.680748207301352,0.05093684493169764,87.20182710333182,6.780028343200684e-06,196,0.5774507522583008,0.01681957207620144,0.0602952279150486,0.016794968396425247,0.8344766878767819,0.17753970679823197,0.06574761399787898,4.0180369978770614e-05,0.0,0.9929043650627136
3,0.5517241379310345,0.6224814422057263,0.5411764705882353,0.5897435897435898,0.5,0.6097560975609756,21.00726552220987,0.05764387778283691,87.49695320494382,0.0,288,0.9627765372382028,0.1897608247143845,0.0,1.0,0.5517241379310345,0.6224814422057263,0.5411764705882353,0.5897435897435898,0.5,0.6097560975609756,21.00726552220987,0.05764387778283691,87.49695320494382,1.4901161193847656e-08,288,1.4494376286882172e-22,0.9627765372382028,0.18976082471438452,0.0,0.00013195481733419,0.07981078326702118,0.984805166721344,8.163117901763259e-18,-8.163117901763259e-18,3.857487568167386e-15,8.23399652691109e-18,0.0012499380391091108,0.013499212451279163,6.0676626892419575e-25,0.28039491176605225,0.0011179832508787513,0.0,1.0,0.5747126436781609,0.6166489925768823,0.5432098765432098,0.6285714285714286,0.4782608695652174,0.6829268292682927,6.821585884608794e-06,20.965531098148382,0.057662130225235385,87.3093041873699,1.6227364540100098e-05,290,0.3735595941543579,0.008611050434410572,0.03012905642390251,0.008601918816566467,0.9620680430113058,0.18977704547901422,-0.005832449628843994,1.543263715575449e-05,0.0,0.9958678483963013
4,0.6206896551724138,0.7244680851063829,0.5925925925925926,0.7058823529411765,0.5106382978723404,0.75,23.53746570120192,0.06715627644984906,90.82729829384888,0.0,418,0.9954589806392925,0.20277381249589346,0.0,1.0,0.6551724137931034,0.7319148936170212,0.7058823529411765,0.6545454545454545,0.7659574468085106,0.525,23.516715197220687,0.06717598800251531,90.73391040779086,2.232193946838379e-05,418,0.21457421779632568,0.9952806207115173,0.20279613253286197,0.007446808510638281,0.00014670345990452915,0.08490730822086334,0.005551713518798351,0.0012026866897940636,0.0011774501763284206,0.23097430169582367,0.21457917988300323,0.0015403409488499165,0.014186222106218338,0.0012726129498332739,0.2928503155708313,0.0011790632270276546,0.0,0.9979817867279053,0.6666666666666666,0.749468085106383,0.6947368421052632,0.6875,0.7021276595744681,0.625,3.4214233892271295e-05,23.466920976055228,0.06731108219094749,90.45088581111885,0.00020459294319152832,418,0.6302703619003296,0.017734330147504807,0.05498470738530159,0.017702441662549973,0.9908819908184412,0.20297838292522158,0.025000000000000022,5.194856566959061e-05,0.0,0.9921713471412659
5,0.6551724137931034,0.7154255319148937,0.6938775510204082,0.6666666666666666,0.723404255319149,0.575,21.04155045760612,0.056993068324518774,88.13871582133183,0.0,281,0.9288410726665857,0.18960352382558573,0.0,1.0,0.632183908045977,0.6808510638297872,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.6,21.041364171582988,0.05699314203418208,88.13787851284656,4.470348358154297e-08,281,1.2975827303307597e-05,0.9288414370044714,0.1896035793582327,-0.03457446808510645,0.00012931652599945664,0.07861889898777008,0.9101281762123108,1.2220688404340763e-05,1.2220688404340763e-05,0.00011091738997492939,1.338194761046907e-05,0.0012639934429898858,0.013187095522880554,1.1560157872736454e-05,0.3365008533000946,0.0011346640530973673,0.0,0.9999819993972778,0.632183908045977,0.6776595744680851,0.6,0.7272727272727273,0.5106382978723404,0.775,3.8264875911409035e-05,20.938983604398654,0.057034565337912346,87.67717108059776,4.780292510986328e-05,281,0.6316770315170288,0.016786469146609306,0.045971646904945374,0.016743507236242294,0.928755774610017,0.18965134190905072,-0.03776595744680855,5.505134322447702e-05,0.0,0.98982173204422
6,0.5862068965517241,0.625531914893617,0.55,0.6666666666666666,0.46808510638297873,0.725,20.356080886671602,0.05107832586735166,90.06910363353501,0.0,213,0.8216159865097579,0.17843849001114256,0.0,1.0,0.632183908045977,0.6553191489361703,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.6,20.35602618182476,0.05107837628603013,90.06881712939776,0.0,213,1.2381129010918812e-08,0.8216177464072446,0.17843850716597562,0.029787234042553234,0.00013363119796849787,0.08345942944288254,0.8038034439086914,5.47083982382901e-06,5.47083982382901e-06,0.00027935081743635237,7.241612365760375e-06,0.0012962041655555367,0.01339687779545784,6.482668140961323e-06,0.27376002073287964,0.0011625729966908693,0.0,0.9999944567680359,0.5632183908045977,0.6622340425531914,0.4722222222222222,0.68,0.3617021276595745,0.8,2.604324799904134e-05,20.266126502411584,0.05108178481885235,89.66804840198529,-5.260109901428223e-06,211,0.5911150574684143,0.012340099550783634,0.02828662469983101,0.012315081432461739,0.8226298118040091,0.178433236800668,0.03670212765957437,3.838334669126198e-05,0.0,0.9913304448127747
7,0.5632183908045977,0.6260638297872341,0.6415094339622641,0.576271186440678,0.723404255319149,0.375,18.913377481628892,0.04913396842762688,85.32536785227667,0.0,159,0.8395978724960996,0.17552917836725213,0.0,1.0,0.5402298850574713,0.6058510638297873,0.5833333333333334,0.5714285714285714,0.5957446808510638,0.475,18.88297372970941,0.049137638340421605,85.18502381938134,1.430511474609375e-05,159,0.03423058241605759,0.8396858431412668,0.17554349015595977,-0.02021276595744681,0.0001347633806290105,0.08152329176664352,0.0791713073849678,0.0019437252776697278,0.0017660469748079777,0.14449751377105713,0.03588688001036644,0.0013190199388191104,0.013485646806657314,0.0019578118808567524,0.3302953839302063,0.001150025986135006,0.0,0.9966147541999817,0.5287356321839081,0.6154255319148937,0.6019417475728155,0.5535714285714286,0.6595744680851063,0.375,8.458174306724686e-06,18.88032470110812,0.049170842219469636,85.1443109866444,5.836784839630127e-05,159,0.41965699195861816,0.009608408436179161,0.030879894271492958,0.009598622098565102,0.8400824841946936,0.17558754335131585,-0.010638297872340385,1.8066582924802788e-05,0.0,0.9959661960601807
8,0.6206896551724138,0.701063829787234,0.5925925925925926,0.7058823529411765,0.5106382978723404,0.75,20.518183256975057,0.05445719501846374,87.92477596703439,0.0,275,0.9439524197316604,0.1847786889650708,0.0,1.0,0.6551724137931034,0.6984042553191491,0.6938775510204082,0.6666666666666666,0.723404255319149,0.575,20.47710951572497,0.0544763029676453,87.73337565601105,2.6792287826538086e-05,275,0.20142143964767456,0.9445685711048104,0.184805483704965,-0.0026595744680849576,0.0001384182251058519,0.0836922824382782,0.01462465338408947,0.0030463319271802902,0.002129483502358198,0.22317038476467133,0.20551064610481262,0.0015343254199251533,0.013557431288063526,0.0036052761133760214,0.3401842415332794,0.0011944856960326433,0.0,0.995525598526001,0.5517241379310345,0.6414893617021277,0.5714285714285714,0.5909090909090909,0.5531914893617021,0.55,1.0011339327320457e-05,20.48577336964347,0.05450840879835666,87.7446430770002,7.773935794830322e-05,278,0.4680042266845703,0.011394696310162544,0.036837924271821976,0.011381872929632664,0.9433866657413558,0.18485641641172332,-0.05957446808510636,2.140603646694217e-05,0.0,0.9961044192314148
9,0.5057471264367817,0.5132978723404256,0.5376344086021505,0.5434782608695652,0.5319148936170213,0.475,19.361174114571728,0.05133872284804119,85.449428081858,0.0,222,0.8895103167577836,0.179733924020703,0.0,1.0,0.4367816091954023,0.5122340425531915,0.2222222222222222,0.4375,0.14893617021276595,0.775,19.361174114570517,0.05133872284803456,85.44942808185817,-1.4901161193847656e-08,222,1.5785120432987298e-10,0.8895103167577836,0.1797339240206754,-0.0010638297872340718,0.0001317820861004293,0.0814693346619606,0.6772228479385376,1.2219168732396923e-10,-1.2219168732396923e-10,1.0377097403591051e-08,1.9221783886802513e-10,0.0013721466530114412,0.013402566313743591,6.51806516746567e-12,0.28784433007240295,0.0012403646251186728,0.0,1.0,0.5172413793103449,0.5101063829787235,0.5714285714285714,0.5490196078431373,0.5957446808510638,0.425,4.16959410358686e-05,19.24942636356789,0.051330809203936865,84.9627843887043,-1.0401010513305664e-05,224,0.5757601261138916,0.015177635475993156,0.044304125010967255,0.015137754380702972,0.8890654619062449,0.1797235374033868,-0.0031914893617021045,5.6873577705118805e-05,0.0,0.9888476133346558
10,0.5747126436781609,0.5989361702127659,0.4931506849315068,0.6923076923076923,0.3829787234042553,0.8,20.60129859546002,0.05500735329104206,87.83836073684932,0.0,248,1.1450745075167812,0.18504245773652042,0.0,1.0,0.5862068965517241,0.5994680851063829,0.625,0.6122448979591837,0.6382978723404256,0.525,20.501135484790794,0.05501591168226045,87.40449313876027,-2.5197863578796387e-05,248,0.1905650496482849,1.1450177178626142,0.18501728072979054,0.0005319148936170359,0.00013551479787565768,0.08329464495182037,0.030656978487968445,0.006122029852122068,0.006099145859479904,0.2042536437511444,0.19710546731948853,0.001505439868196845,0.013460601679980755,0.0057697300799191,0.30512604117393494,0.0011793600860983133,0.0,0.9904724359512329,0.5977011494252874,0.5946808510638297,0.631578947368421,0.625,0.6382978723404256,0.55,4.721744335256517e-05,20.48481387096812,0.05497635345513167,87.36632286834856,-7.8544020652771e-05,245,0.6916149854660034,0.019963152706623077,0.054922327399253845,0.019923310726881027,1.1441516724675835,0.1849639252070603,-0.004255319148936176,6.718059739796445e-05,0.0,0.9895586371421814
