fold,pr_ec_ACC,pr_ec_AUC,pr_ec_F1,pr_ec_Precision,pr_ec_Recall
1,0.6022727272727273,0.6398546964193047,0.5679012345679012,0.575,0.5609756097560976
2,0.5862068965517241,0.6134676564156947,0.625,0.5454545454545454,0.7317073170731707
3,0.6666666666666666,0.6415694591728526,0.6666666666666666,0.6304347826086957,0.7073170731707317
4,0.6436781609195402,0.7595744680851063,0.6804123711340206,0.5789473684210527,0.825
5,0.5402298850574713,0.6393617021276595,0.47368421052631576,0.5,0.45
6,0.4942528735632184,0.6281914893617021,0.5217391304347826,0.46153846153846156,0.6
7,0.6551724137931034,0.7095744680851063,0.6590909090909091,0.6041666666666666,0.725
8,0.6436781609195402,0.7079787234042554,0.6265060240963856,0.6046511627906976,0.65
9,0.5977011494252874,0.6686170212765957,0.6728971962616822,0.5373134328358209,0.9
10,0.6091954022988506,0.6771276595744681,0.6792452830188679,0.5454545454545454,0.9
