fold,pr_ec_ACC,pr_ec_AUC,pr_ec_F1,pr_ec_Precision,pr_ec_Recall
1,0.6836734693877551,0.7317480183562786,0.6868686868686869,0.6538461538461539,0.723404255319149
2,0.5408163265306123,0.6357947434292865,0.6017699115044248,0.5151515151515151,0.723404255319149
3,0.5612244897959183,0.6137123745819397,0.5825242718446602,0.5263157894736842,0.6521739130434783
4,0.6530612244897959,0.7123745819397993,0.6792452830188679,0.6,0.782608695652174
5,0.5816326530612245,0.6479933110367893,0.6554621848739496,0.5342465753424658,0.8478260869565217
6,0.6288659793814433,0.685848252344416,0.6,0.6136363636363636,0.5869565217391305
7,0.5257731958762887,0.6125319693094629,0.5660377358490566,0.5,0.6521739130434783
8,0.6391752577319587,0.6884057971014492,0.6067415730337079,0.627906976744186,0.5869565217391305
9,0.6597938144329897,0.6990622335890878,0.6526315789473685,0.6326530612244898,0.6739130434782609
10,0.5876288659793815,0.6555839727195226,0.6296296296296297,0.5483870967741935,0.7391304347826086
