fold,pr_ec_ACC,pr_ec_AUC,pr_ec_F1,pr_ec_Precision,pr_ec_Recall
1,0.6455696202531646,0.6358543417366946,0.5333333333333333,0.5,0.5714285714285714
2,0.6708860759493671,0.7156862745098039,0.5,0.5416666666666666,0.4642857142857143
3,0.4430379746835443,0.5294117647058824,0.4634146341463415,0.35185185185185186,0.6785714285714286
4,0.6582278481012658,0.584733893557423,0.18181818181818182,0.6,0.10714285714285714
5,0.5949367088607594,0.6484593837535014,0.5151515151515151,0.4473684210526316,0.6071428571428571
6,0.569620253164557,0.5399159663865546,0.43333333333333335,0.40625,0.4642857142857143
7,0.5569620253164557,0.5686274509803921,0.5070422535211268,0.4186046511627907,0.6428571428571429
8,0.6075949367088608,0.6806722689075629,0.5866666666666667,0.46808510638297873,0.7857142857142857
9,0.5769230769230769,0.6421428571428571,0.6024096385542169,0.45454545454545453,0.8928571428571429
10,0.5384615384615384,0.5757142857142856,0.45454545454545453,0.39473684210526316,0.5357142857142857
