Dataset,rank,source,target,source_index,target_index,hedges_g,absolute_hedges_g
ABIDE-I,1,ROI_077,ROI_085,76,84,0.49175286249656536,0.49175286249656536
ABIDE-I,2,ROI_086,ROI_038,85,37,0.4790800915181369,0.4790800915181369
ABIDE-I,3,ROI_038,ROI_086,37,85,0.4712386233424767,0.4712386233424767
ABIDE-I,4,ROI_078,ROI_086,77,85,0.47014990034433923,0.47014990034433923
ABIDE-I,5,ROI_077,ROI_081,76,80,0.4688883135246377,0.4688883135246377
ABIDE-I,6,ROI_078,ROI_085,77,84,0.45192839694277515,0.45192839694277515
ABIDE-I,7,ROI_026,ROI_068,25,67,-0.44834364955654066,0.44834364955654066
ABIDE-I,8,ROI_037,ROI_085,36,84,0.4427312330672167,0.4427312330672167
ABIDE-I,9,ROI_070,ROI_057,69,56,-0.44087813400798986,0.44087813400798986
ABIDE-I,10,ROI_081,ROI_077,80,76,0.4342639837108057,0.4342639837108057
ABIDE-I,11,ROI_085,ROI_077,84,76,0.43384277368734403,0.43384277368734403
ABIDE-I,12,ROI_086,ROI_078,85,77,0.43180449590512787,0.43180449590512787
ABIDE-I,13,ROI_085,ROI_078,84,77,0.4289183349469725,0.4289183349469725
ABIDE-I,14,ROI_078,ROI_082,77,81,0.42697504094579347,0.42697504094579347
ABIDE-I,15,ROI_082,ROI_078,81,77,0.42601944398664116,0.42601944398664116
ABIDE-I,16,ROI_081,ROI_078,80,77,0.42125729091286934,0.42125729091286934
ABIDE-I,17,ROI_057,ROI_070,56,69,-0.4204834650511368,0.4204834650511368
ABIDE-I,18,ROI_085,ROI_037,84,36,0.4090795152946549,0.4090795152946549
ABIDE-I,19,ROI_078,ROI_081,77,80,0.4083248151897991,0.4083248151897991
ABIDE-I,20,ROI_076,ROI_082,75,81,0.40262219197386717,0.40262219197386717
ABIDE-I,21,ROI_068,ROI_026,67,25,-0.39755040054027285,0.39755040054027285
ABIDE-I,22,ROI_086,ROI_045,85,44,-0.3879020389540025,0.3879020389540025
ABIDE-I,23,ROI_078,ROI_057,77,56,0.3842305757262371,0.3842305757262371
ABIDE-I,24,ROI_085,ROI_038,84,37,0.37911640602608937,0.37911640602608937
ABIDE-I,25,ROI_062,ROI_068,61,67,0.3770495358473615,0.3770495358473615
ABIDE-I,26,ROI_077,ROI_082,76,81,0.3752653785881379,0.3752653785881379
ABIDE-I,27,ROI_038,ROI_085,37,84,0.3731817306172138,0.3731817306172138
ABIDE-I,28,ROI_057,ROI_078,56,77,0.3674996133541008,0.3674996133541008
ABIDE-I,29,ROI_082,ROI_076,81,75,0.3665810761426742,0.3665810761426742
ABIDE-I,30,ROI_045,ROI_086,44,85,-0.36533122191946704,0.36533122191946704
ABIDE-I,31,ROI_036,ROI_078,35,77,-0.3603153269106431,0.3603153269106431
ABIDE-I,32,ROI_068,ROI_062,67,61,0.35674046365884704,0.35674046365884704
ABIDE-I,33,ROI_077,ROI_079,76,78,0.35541269271636666,0.35541269271636666
ABIDE-I,34,ROI_078,ROI_079,77,78,0.3498956892685486,0.3498956892685486
ABIDE-I,35,ROI_077,ROI_086,76,85,0.345165971655644,0.345165971655644
ABIDE-I,36,ROI_078,ROI_036,77,35,-0.34309818199930336,0.34309818199930336
ABIDE-I,37,ROI_031,ROI_038,30,37,-0.3418807894917952,0.3418807894917952
ABIDE-I,38,ROI_058,ROI_057,57,56,-0.341302070780031,0.341302070780031
ABIDE-I,39,ROI_072,ROI_078,71,77,-0.3403413779292964,0.3403413779292964
ABIDE-I,40,ROI_078,ROI_058,77,57,0.33983858899617825,0.33983858899617825
ABIDE-I,41,ROI_025,ROI_068,24,67,-0.33885052917480835,0.33885052917480835
ABIDE-I,42,ROI_086,ROI_046,85,45,-0.3384383401334665,0.3384383401334665
ABIDE-I,43,ROI_038,ROI_090,37,89,0.33828479341758977,0.33828479341758977
ABIDE-I,44,ROI_028,ROI_068,27,67,-0.3349505994111908,0.3349505994111908
ABIDE-I,45,ROI_078,ROI_017,77,16,0.3348840204251504,0.3348840204251504
ABIDE-I,46,ROI_090,ROI_038,89,37,0.33412826563150466,0.33412826563150466
ABIDE-I,47,ROI_017,ROI_078,16,77,0.3340075992758595,0.3340075992758595
ABIDE-I,48,ROI_061,ROI_068,60,67,0.33215429617682524,0.33215429617682524
