fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5,0.17647058823529413,0.5878181059657905,0.4878048780487805,0.851063829787234,0.6201550387596899
2,1,0.5510204081632653,0.5098039215686274,0.5657071339173967,0.5283018867924528,0.5957446808510638,0.56
3,1,0.3877551020408163,0.4230769230769231,0.387123745819398,0.34782608695652173,0.34782608695652173,0.34782608695652173
4,1,0.5510204081632653,0.5576923076923077,0.5426421404682275,0.5208333333333334,0.5434782608695652,0.5319148936170213
5,1,0.45918367346938777,0.34615384615384615,0.43394648829431437,0.4426229508196721,0.5869565217391305,0.5046728971962616
6,1,0.4742268041237113,0.09803921568627451,0.44458653026427963,0.47126436781609193,0.8913043478260869,0.6165413533834586
7,1,0.4020618556701031,0.23529411764705882,0.3853367433930094,0.4090909090909091,0.5869565217391305,0.48214285714285715
8,1,0.5360824742268041,0.9803921568627451,0.5349531116794544,0.6666666666666666,0.043478260869565216,0.08163265306122448
9,1,0.5257731958762887,0.7843137254901961,0.5345268542199488,0.5,0.2391304347826087,0.3235294117647059
10,1,0.4639175257731959,0.5490196078431373,0.4036658141517477,0.425,0.3695652173913043,0.3953488372093023
