fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5,0.3191489361702128,0.505214851898206,0.5151515151515151,0.6666666666666666,0.5811965811965812
2,1,0.5612244897959183,0.48936170212765956,0.5285773884021694,0.5714285714285714,0.6274509803921569,0.5981308411214953
3,1,0.45918367346938777,0.13043478260869565,0.3674749163879599,0.4936708860759494,0.75,0.5954198473282443
4,1,0.5204081632653061,0.08695652173913043,0.4669732441471572,0.5280898876404494,0.9038461538461539,0.6666666666666666
5,1,0.40816326530612246,0.6956521739130435,0.38670568561872914,0.36363636363636365,0.15384615384615385,0.21621621621621623
6,1,0.4742268041237113,0.5217391304347826,0.4676044330775788,0.5,0.43137254901960786,0.4631578947368421
7,1,0.4639175257731959,0.4782608695652174,0.45439045183290705,0.48936170212765956,0.45098039215686275,0.46938775510204084
8,1,0.6082474226804123,0.41304347826086957,0.6099744245524297,0.5970149253731343,0.7843137254901961,0.6779661016949152
9,1,0.5154639175257731,0.06521739130434782,0.4441602728047741,0.5222222222222223,0.9215686274509803,0.6666666666666666
10,1,0.4845360824742268,0.3695652173913043,0.48891730605285594,0.5084745762711864,0.5882352941176471,0.5454545454545454
