fold,repeat,ACC,Recall,AUC,Precision,F1
1,1,0.4090909090909091,0.24390243902439024,0.34353918007265183,0.3225806451612903,0.2777777777777778
2,1,0.4827586206896552,0.8780487804878049,0.443796394485684,0.47368421052631576,0.6153846153846154
3,1,0.5057471264367817,0.4878048780487805,0.48939554612937436,0.47619047619047616,0.4819277108433735
4,1,0.42528735632183906,0.425,0.40585106382978725,0.38636363636363635,0.40476190476190477
5,1,0.5747126436781609,0.625,0.6154255319148936,0.5319148936170213,0.5747126436781609
6,1,0.45977011494252873,0.825,0.5186170212765957,0.4520547945205479,0.584070796460177
7,1,0.5517241379310345,0.425,0.597872340425532,0.5151515151515151,0.4657534246575342
8,1,0.5517241379310345,0.025,0.43936170212765957,1.0,0.04878048780487805
9,1,0.5402298850574713,0.15,0.6058510638297873,0.5,0.23076923076923078
10,1,0.47126436781609193,0.925,0.5792553191489362,0.4625,0.6166666666666667
