fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.6,0.6666666666666666,0.5,0.5,0.5,0.5
2,1,0.4,0.0,0.3333333333333333,0.5,0.6666666666666666,0.5714285714285714
3,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1,0.4,0.0,0.16666666666666666,0.5,0.6666666666666666,0.5714285714285714
5,1,0.6,1.0,1.0,1.0,0.3333333333333333,0.5
6,1,0.6,1.0,0.5,1.0,0.3333333333333333,0.5
7,1,0.6,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5
8,1,0.6,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5
9,1,0.2,0.5,0.0,0.0,0.0,0.0
10,1,0.4,1.0,0.5,0.0,0.0,0.0
