fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5454545454545454,0.3829787234042553,0.6071613907628438,0.5084745762711864,0.7317073170731707,0.6
2,1,0.5977011494252874,0.43478260869565216,0.6993637327677624,0.5517241379310345,0.7804878048780488,0.6464646464646465
3,1,0.6436781609195402,0.45652173913043476,0.6214209968186638,0.5833333333333334,0.8536585365853658,0.693069306930693
4,1,0.7126436781609196,0.8297872340425532,0.7468085106382979,0.7419354838709677,0.575,0.647887323943662
5,1,0.5862068965517241,0.7872340425531915,0.6287234042553191,0.5833333333333334,0.35,0.4375
6,1,0.5172413793103449,0.3617021276595745,0.648404255319149,0.4827586206896552,0.7,0.5714285714285714
7,1,0.6091954022988506,0.48936170212765956,0.6930851063829787,0.5555555555555556,0.75,0.6382978723404256
8,1,0.6091954022988506,0.6595744680851063,0.6446808510638299,0.5789473684210527,0.55,0.5641025641025641
9,1,0.6436781609195402,0.5319148936170213,0.701063829787234,0.5849056603773585,0.775,0.6666666666666666
10,1,0.6206896551724138,0.6382978723404256,0.6590425531914894,0.5853658536585366,0.6,0.5925925925925926
