fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5113636363636364,0.5609756097560976,0.48261546445251685,0.55,0.46808510638297873,0.5057471264367817
2,1,0.45977011494252873,0.7560975609756098,0.46076352067868503,0.47368421052631576,0.1956521739130435,0.27692307692307694
3,1,0.5632183908045977,0.6829268292682927,0.5726405090137857,0.6176470588235294,0.45652173913043476,0.525
4,1,0.4827586206896552,0.6,0.4888297872340425,0.5294117647058824,0.3829787234042553,0.4444444444444444
5,1,0.4827586206896552,0.175,0.3936170212765957,0.5147058823529411,0.7446808510638298,0.6086956521739131
6,1,0.5402298850574713,0.175,0.47765957446808505,0.547945205479452,0.851063829787234,0.6666666666666666
7,1,0.5287356321839081,0.2,0.5297872340425532,0.5428571428571428,0.8085106382978723,0.6495726495726496
8,1,0.4827586206896552,0.975,0.5856382978723403,0.75,0.06382978723404255,0.11764705882352941
9,1,0.5632183908045977,0.4,0.5494680851063829,0.5789473684210527,0.7021276595744681,0.6346153846153846
10,1,0.45977011494252873,0.825,0.5117021276595745,0.5,0.14893617021276595,0.22950819672131148
