fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5714285714285714,0.3191489361702128,0.5260742594910304,0.5616438356164384,0.803921568627451,0.6612903225806451
2,1,0.5816326530612245,0.7659574468085106,0.6549853984146851,0.65625,0.4117647058823529,0.5060240963855421
3,1,0.5408163265306123,0.6304347826086957,0.5639632107023411,0.5853658536585366,0.46153846153846156,0.5161290322580645
4,1,0.6224489795918368,0.6956521739130435,0.721571906354515,0.6744186046511628,0.5576923076923077,0.6105263157894737
5,1,0.5510204081632653,0.21739130434782608,0.5355351170568562,0.55,0.8461538461538461,0.6666666666666666
6,1,0.4639175257731959,0.6956521739130435,0.5421994884910486,0.48148148148148145,0.2549019607843137,0.3333333333333333
7,1,0.5670103092783505,0.43478260869565216,0.6231884057971014,0.5737704918032787,0.6862745098039216,0.625
8,1,0.6082474226804123,0.30434782608695654,0.6615515771526002,0.5844155844155844,0.8823529411764706,0.703125
9,1,0.6907216494845361,0.5869565217391305,0.6474850809889173,0.6779661016949152,0.7843137254901961,0.7272727272727273
10,1,0.5051546391752577,0.08695652173913043,0.5260017050298379,0.5172413793103449,0.8823529411764706,0.6521739130434783
