fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5102040816326531,0.5098039215686274,0.5481852315394243,0.4897959183673469,0.5106382978723404,0.5
2,1,0.5204081632653061,0.37254901960784315,0.5298289528577388,0.5,0.6808510638297872,0.5765765765765766
3,1,0.5,0.4230769230769231,0.4397993311036789,0.47368421052631576,0.5869565217391305,0.5242718446601942
4,1,0.4489795918367347,0.23076923076923078,0.46571906354515047,0.4444444444444444,0.6956521739130435,0.5423728813559322
5,1,0.5,0.34615384615384615,0.5104515050167224,0.47692307692307695,0.6739130434782609,0.5585585585585585
6,1,0.5360824742268041,0.3333333333333333,0.5417732310315431,0.5072463768115942,0.7608695652173914,0.6086956521739131
7,1,0.5154639175257731,0.17647058823529413,0.5963341858482524,0.4939759036144578,0.8913043478260869,0.6356589147286822
8,1,0.4536082474226804,0.0392156862745098,0.44202898550724634,0.46153846153846156,0.9130434782608695,0.6131386861313869
9,1,0.5670103092783505,0.7254901960784313,0.5076726342710998,0.5625,0.391304347826087,0.46153846153846156
10,1,0.5051546391752577,0.21568627450980393,0.5191815856777493,0.48717948717948717,0.8260869565217391,0.6129032258064516
