fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.4659090909090909,0.7446808510638298,0.4037363777893098,0.3333333333333333,0.14634146341463414,0.2033898305084746
2,1,0.5632183908045977,0.6304347826086957,0.5705196182396607,0.5405405405405406,0.4878048780487805,0.5128205128205128
3,1,0.45977011494252873,0.13043478260869565,0.42046659597030756,0.4594594594594595,0.8292682926829268,0.591304347826087
4,1,0.4367816091954023,0.7446808510638298,0.498936170212766,0.2,0.075,0.10909090909090909
5,1,0.5172413793103449,0.3829787234042553,0.5186170212765957,0.48214285714285715,0.675,0.5625
6,1,0.5402298850574713,0.5106382978723404,0.5882978723404255,0.5,0.575,0.5348837209302325
7,1,0.4482758620689655,0.723404255319149,0.5430851063829787,0.2777777777777778,0.125,0.1724137931034483
8,1,0.4482758620689655,0.3404255319148936,0.4521276595744681,0.42592592592592593,0.575,0.48936170212765956
9,1,0.42528735632183906,0.0,0.528723404255319,0.44047619047619047,0.925,0.5967741935483871
10,1,0.47126436781609193,0.48936170212765956,0.5404255319148936,0.42857142857142855,0.45,0.43902439024390244
