fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.4050632911392405,0.35294117647058826,0.3914565826330533,0.2978723404255319,0.5,0.37333333333333335
2,1,0.6455696202531646,1.0,0.5322128851540616,0.0,0.0,0.0
3,1,0.5822784810126582,0.7450980392156863,0.5581232492997199,0.38095238095238093,0.2857142857142857,0.32653061224489793
4,1,0.5189873417721519,0.5882352941176471,0.47198879551820727,0.34375,0.39285714285714285,0.36666666666666664
5,1,0.4050632911392405,0.17647058823529413,0.41316526610644255,0.35384615384615387,0.8214285714285714,0.4946236559139785
6,1,0.4177215189873418,0.3333333333333333,0.515406162464986,0.32,0.5714285714285714,0.41025641025641024
7,1,0.379746835443038,0.23529411764705882,0.4635854341736695,0.3157894736842105,0.6428571428571429,0.4235294117647059
8,1,0.5443037974683544,0.5098039215686274,0.5945378151260504,0.40476190476190477,0.6071428571428571,0.4857142857142857
9,1,0.3717948717948718,0.04,0.4392857142857143,0.36,0.9642857142857143,0.5242718446601942
10,1,0.3974358974358974,0.22,0.5364285714285714,0.3389830508474576,0.7142857142857143,0.45977011494252873
