fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5454545454545454,0.3829787234042553,0.5319148936170213,0.5084745762711864,0.7317073170731707,0.6
2,1,0.4942528735632184,0.8043478260869565,0.443796394485684,0.4,0.14634146341463414,0.21428571428571427
3,1,0.5977011494252874,0.6521739130434783,0.6336161187698833,0.5789473684210527,0.5365853658536586,0.5569620253164557
4,1,0.4942528735632184,0.48936170212765956,0.5053191489361702,0.45454545454545453,0.5,0.47619047619047616
5,1,0.5402298850574713,0.425531914893617,0.5553191489361702,0.5,0.675,0.574468085106383
6,1,0.45977011494252873,0.2553191489361702,0.5202127659574468,0.4444444444444444,0.7,0.5436893203883495
7,1,0.4827586206896552,0.06382978723404255,0.5377659574468086,0.46987951807228917,0.975,0.6341463414634146
8,1,0.4827586206896552,0.3829787234042553,0.4632978723404255,0.4528301886792453,0.6,0.5161290322580645
9,1,0.5287356321839081,0.8723404255319149,0.48617021276595745,0.45454545454545453,0.125,0.19607843137254902
10,1,0.45977011494252873,0.3617021276595745,0.38244680851063834,0.4339622641509434,0.575,0.4946236559139785
