fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.4810126582278481,0.3333333333333333,0.5686274509803921,0.38181818181818183,0.75,0.5060240963855421
2,1,0.5063291139240507,0.39215686274509803,0.5672268907563025,0.39215686274509803,0.7142857142857143,0.5063291139240507
3,1,0.6075949367088608,0.6078431372549019,0.6169467787114846,0.4594594594594595,0.6071428571428571,0.5230769230769231
4,1,0.379746835443038,0.3333333333333333,0.45168067226890757,0.2765957446808511,0.4642857142857143,0.3466666666666667
5,1,0.6329113924050633,0.6862745098039216,0.6169467787114846,0.4838709677419355,0.5357142857142857,0.5084745762711864
6,1,0.5949367088607594,0.7254901960784313,0.5525210084033613,0.4166666666666667,0.35714285714285715,0.38461538461538464
7,1,0.569620253164557,0.7647058823529411,0.5511204481792717,0.3333333333333333,0.21428571428571427,0.2608695652173913
8,1,0.6582278481012658,0.9803921568627451,0.5161064425770308,0.6666666666666666,0.07142857142857142,0.12903225806451613
9,1,0.46153846153846156,0.28,0.5064285714285715,0.3793103448275862,0.7857142857142857,0.5116279069767442
10,1,0.4358974358974359,0.22,0.4957142857142857,0.3709677419354839,0.8214285714285714,0.5111111111111111
