fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5408163265306123,0.3829787234042553,0.5644555694618273,0.546875,0.6862745098039216,0.6086956521739131
2,1,0.5408163265306123,0.2553191489361702,0.5565289945765539,0.5394736842105263,0.803921568627451,0.6456692913385826
3,1,0.5204081632653061,0.6304347826086957,0.5514214046822742,0.5641025641025641,0.4230769230769231,0.4835164835164835
4,1,0.5816326530612245,0.43478260869565216,0.5756688963210703,0.5873015873015873,0.7115384615384616,0.6434782608695652
5,1,0.6122448979591837,0.6304347826086957,0.6212374581939799,0.6458333333333334,0.5961538461538461,0.62
6,1,0.6494845360824743,0.6521739130434783,0.6875532821824382,0.673469387755102,0.6470588235294118,0.66
7,1,0.6288659793814433,0.30434782608695654,0.6466325660699063,0.5949367088607594,0.9215686274509803,0.7230769230769231
8,1,0.6288659793814433,0.782608695652174,0.5818414322250639,0.7142857142857143,0.49019607843137253,0.5813953488372093
9,1,0.5979381443298969,0.2826086956521739,0.5963341858482523,0.5769230769230769,0.8823529411764706,0.6976744186046512
10,1,0.5567010309278351,0.5869565217391305,0.5583972719522592,0.5869565217391305,0.5294117647058824,0.5567010309278351
