fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.45454545454545453,0.4634146341463415,0.455630513751946,0.4883720930232558,0.44680851063829785,0.4666666666666667
2,1,0.5287356321839081,0.3170731707317073,0.48727465535524916,0.5409836065573771,0.717391304347826,0.616822429906542
3,1,0.5287356321839081,0.8536585365853658,0.5487804878048781,0.6470588235294118,0.2391304347826087,0.3492063492063492
4,1,0.4827586206896552,0.15,0.38138297872340426,0.5142857142857142,0.7659574468085106,0.6153846153846154
5,1,0.5172413793103449,0.875,0.5851063829787234,0.6666666666666666,0.2127659574468085,0.3225806451612903
6,1,0.5747126436781609,0.25,0.5414893617021277,0.5714285714285714,0.851063829787234,0.6837606837606838
7,1,0.47126436781609193,0.225,0.4377659574468086,0.5079365079365079,0.6808510638297872,0.5818181818181818
8,1,0.40229885057471265,0.275,0.4026595744680851,0.4528301886792453,0.5106382978723404,0.48
9,1,0.6436781609195402,0.875,0.6441489361702127,0.8076923076923077,0.44680851063829785,0.5753424657534246
10,1,0.5517241379310345,0.475,0.5851063829787234,0.58,0.6170212765957447,0.5979381443298969
