fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.6022727272727273,0.4878048780487805,0.6185781006746238,0.6111111111111112,0.7021276595744681,0.6534653465346535
2,1,0.5287356321839081,0.9024390243902439,0.5646871686108166,0.6923076923076923,0.1956521739130435,0.3050847457627119
3,1,0.7126436781609196,0.7804878048780488,0.823966065747614,0.7692307692307693,0.6521739130434783,0.7058823529411765
4,1,0.6551724137931034,0.7,0.7095744680851064,0.7073170731707317,0.6170212765957447,0.6590909090909091
5,1,0.6551724137931034,0.675,0.6925531914893616,0.6976744186046512,0.6382978723404256,0.6666666666666666
6,1,0.6551724137931034,0.325,0.6457446808510638,0.6197183098591549,0.9361702127659575,0.7457627118644068
7,1,0.6551724137931034,0.6,0.7164893617021276,0.673469387755102,0.7021276595744681,0.6875
8,1,0.5517241379310345,0.2,0.6196808510638298,0.5555555555555556,0.851063829787234,0.6722689075630253
9,1,0.5977011494252874,0.5,0.6664893617021277,0.6153846153846154,0.6808510638297872,0.6464646464646465
10,1,0.5747126436781609,0.7,0.6404255319148937,0.6470588235294118,0.46808510638297873,0.5432098765432098
