fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.4897959183673469,0.6666666666666666,0.5344180225281602,0.45161290322580644,0.2978723404255319,0.358974358974359
2,1,0.5918367346938775,0.6666666666666666,0.6516478931998331,0.5853658536585366,0.5106382978723404,0.5454545454545454
3,1,0.6224489795918368,0.4807692307692308,0.6195652173913044,0.5714285714285714,0.782608695652174,0.6605504587155964
4,1,0.6020408163265306,0.5192307692307693,0.637123745819398,0.5614035087719298,0.6956521739130435,0.6213592233009708
5,1,0.5510204081632653,0.5,0.5840301003344481,0.5185185185185185,0.6086956521739131,0.56
6,1,0.6288659793814433,0.5490196078431373,0.6922421142369991,0.5892857142857143,0.717391304347826,0.6470588235294118
7,1,0.5876288659793815,0.5294117647058824,0.5865302642796248,0.5555555555555556,0.6521739130434783,0.6
8,1,0.7010309278350515,0.6666666666666666,0.7357203751065644,0.6666666666666666,0.7391304347826086,0.7010309278350515
9,1,0.6907216494845361,0.5686274509803921,0.722080136402387,0.6333333333333333,0.8260869565217391,0.7169811320754716
10,1,0.5567010309278351,0.6470588235294118,0.5937766410912192,0.5384615384615384,0.45652173913043476,0.49411764705882355
