fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5316455696202531,0.5098039215686274,0.5427170868347339,0.3902439024390244,0.5714285714285714,0.463768115942029
2,1,0.6708860759493671,0.7843137254901961,0.6638655462184874,0.5416666666666666,0.4642857142857143,0.5
3,1,0.620253164556962,0.6470588235294118,0.6428571428571429,0.47058823529411764,0.5714285714285714,0.5161290322580645
4,1,0.6582278481012658,0.8627450980392157,0.6001400560224089,0.5333333333333333,0.2857142857142857,0.37209302325581395
5,1,0.5949367088607594,0.47058823529411764,0.6358543417366946,0.46,0.8214285714285714,0.5897435897435898
6,1,0.5316455696202531,0.6274509803921569,0.5574229691876751,0.3448275862068966,0.35714285714285715,0.3508771929824561
7,1,0.4810126582278481,0.35294117647058826,0.542016806722689,0.37735849056603776,0.7142857142857143,0.49382716049382713
8,1,0.5822784810126582,0.5882352941176471,0.6638655462184874,0.43243243243243246,0.5714285714285714,0.49230769230769234
9,1,0.5,0.28,0.575,0.4098360655737705,0.8928571428571429,0.5617977528089888
10,1,0.5128205128205128,0.5,0.5714285714285714,0.375,0.5357142857142857,0.4411764705882353
