fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.4772727272727273,0.723404255319149,0.4644525168655942,0.38095238095238093,0.1951219512195122,0.25806451612903225
2,1,0.6436781609195402,0.6086956521739131,0.706256627783669,0.6086956521739131,0.6829268292682927,0.6436781609195402
3,1,0.6781609195402298,0.6521739130434783,0.7587486744432662,0.6444444444444445,0.7073170731707317,0.6744186046511628
4,1,0.6781609195402298,0.6382978723404256,0.698404255319149,0.6304347826086957,0.725,0.6744186046511628
5,1,0.5862068965517241,0.7872340425531915,0.6531914893617021,0.5833333333333334,0.35,0.4375
6,1,0.5977011494252874,0.8297872340425532,0.602659574468085,0.6190476190476191,0.325,0.4262295081967213
7,1,0.6896551724137931,0.8723404255319149,0.7021276595744681,0.76,0.475,0.5846153846153846
8,1,0.5632183908045977,0.723404255319149,0.6015957446808511,0.5357142857142857,0.375,0.4411764705882353
9,1,0.5747126436781609,0.3829787234042553,0.6664893617021276,0.5245901639344263,0.8,0.6336633663366337
10,1,0.632183908045977,0.6595744680851063,0.6361702127659574,0.6,0.6,0.6
