fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.6122448979591837,0.6170212765957447,0.671255736337088,0.6326530612244898,0.6078431372549019,0.62
2,1,0.6020408163265306,0.6808510638297872,0.6207759699624531,0.6428571428571429,0.5294117647058824,0.5806451612903226
3,1,0.5510204081632653,0.5652173913043478,0.5430602006688963,0.5833333333333334,0.5384615384615384,0.56
4,1,0.6122448979591837,0.717391304347826,0.5957357859531773,0.675,0.5192307692307693,0.5869565217391305
5,1,0.6122448979591837,0.6956521739130435,0.645066889632107,0.6666666666666666,0.5384615384615384,0.5957446808510638
6,1,0.6082474226804123,0.6956521739130435,0.6589940323955669,0.6585365853658537,0.5294117647058824,0.5869565217391305
7,1,0.6082474226804123,0.5434782608695652,0.5741687979539641,0.6181818181818182,0.6666666666666666,0.6415094339622641
8,1,0.5670103092783505,0.41304347826086957,0.6359761295822677,0.5714285714285714,0.7058823529411765,0.631578947368421
9,1,0.6494845360824743,0.7391304347826086,0.6999147485080989,0.7073170731707317,0.5686274509803921,0.6304347826086957
10,1,0.5567010309278351,0.30434782608695654,0.6517476555839726,0.5555555555555556,0.7843137254901961,0.6504065040650406
