fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.3924050632911392,0.058823529411764705,0.5224089635854342,0.3684210526315789,1.0,0.5384615384615384
2,1,0.5822784810126582,0.6470588235294118,0.5504201680672268,0.41935483870967744,0.4642857142857143,0.4406779661016949
3,1,0.3670886075949367,0.2549019607843137,0.4467787114845938,0.2962962962962963,0.5714285714285714,0.3902439024390244
4,1,0.35443037974683544,0.37254901960784315,0.3515406162464986,0.21951219512195122,0.32142857142857145,0.2608695652173913
5,1,0.5316455696202531,0.5098039215686274,0.5091036414565826,0.3902439024390244,0.5714285714285714,0.463768115942029
6,1,0.5189873417721519,0.6470588235294118,0.43487394957983194,0.3076923076923077,0.2857142857142857,0.2962962962962963
7,1,0.5189873417721519,0.5686274509803921,0.5336134453781513,0.35294117647058826,0.42857142857142855,0.3870967741935484
8,1,0.620253164556962,0.9215686274509803,0.4740896358543417,0.3333333333333333,0.07142857142857142,0.11764705882352941
9,1,0.41025641025641024,0.22,0.42642857142857143,0.35,0.75,0.4772727272727273
10,1,0.3974358974358974,0.24,0.5142857142857142,0.3333333333333333,0.6785714285714286,0.4470588235294118
