fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5568181818181818,0.9148936170212766,0.4416190970420343,0.6,0.14634146341463414,0.23529411764705882
2,1,0.45977011494252873,0.13043478260869565,0.46076352067868503,0.4594594594594595,0.8292682926829268,0.591304347826087
3,1,0.5057471264367817,0.8478260869565217,0.43054082714740194,0.4166666666666667,0.12195121951219512,0.18867924528301888
4,1,0.45977011494252873,0.19148936170212766,0.522872340425532,0.4492753623188406,0.775,0.5688073394495413
5,1,0.5172413793103449,0.23404255319148937,0.5446808510638298,0.4857142857142857,0.85,0.6181818181818182
6,1,0.5402298850574713,0.6808510638297872,0.5388297872340425,0.5,0.375,0.42857142857142855
7,1,0.47126436781609193,0.0425531914893617,0.5893617021276596,0.4642857142857143,0.975,0.6290322580645161
8,1,0.5402298850574713,0.3404255319148936,0.5654255319148935,0.5,0.775,0.6078431372549019
9,1,0.5632183908045977,0.7021276595744681,0.5670212765957447,0.5333333333333333,0.4,0.45714285714285713
10,1,0.4367816091954023,0.02127659574468085,0.42234042553191486,0.4457831325301205,0.925,0.6016260162601627
