fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.3977272727272727,0.2553191489361702,0.3907628437986508,0.39655172413793105,0.5609756097560976,0.46464646464646464
2,1,0.6091954022988506,0.5217391304347826,0.6341463414634146,0.5686274509803921,0.7073170731707317,0.6304347826086957
3,1,0.5977011494252874,0.30434782608695654,0.6871686108165429,0.5428571428571428,0.926829268292683,0.6846846846846847
4,1,0.5287356321839081,0.2553191489361702,0.6382978723404256,0.4927536231884058,0.85,0.6238532110091743
5,1,0.6206896551724138,0.425531914893617,0.6356382978723404,0.5573770491803278,0.85,0.6732673267326733
6,1,0.5747126436781609,0.5531914893617021,0.5957446808510638,0.5333333333333333,0.6,0.5647058823529412
7,1,0.6091954022988506,0.6808510638297872,0.6106382978723405,0.5833333333333334,0.525,0.5526315789473685
8,1,0.6206896551724138,0.7659574468085106,0.6335106382978725,0.6206896551724138,0.45,0.5217391304347826
9,1,0.5517241379310345,0.6595744680851063,0.5223404255319148,0.5151515151515151,0.425,0.4657534246575342
10,1,0.6436781609195402,0.6382978723404256,0.6404255319148936,0.6046511627906976,0.65,0.6265060240963856
