fold,repeat,ACC,SPE,AUC,Precision,Recall,F1
1,1,0.5822784810126582,0.6274509803921569,0.5903361344537815,0.42424242424242425,0.5,0.45901639344262296
2,1,0.6075949367088608,0.6078431372549019,0.6505602240896359,0.4594594594594595,0.6071428571428571,0.5230769230769231
3,1,0.569620253164557,0.6274509803921569,0.5350140056022409,0.40625,0.4642857142857143,0.43333333333333335
4,1,0.45569620253164556,0.35294117647058826,0.4964985994397759,0.35294117647058826,0.6428571428571429,0.45569620253164556
5,1,0.6455696202531646,0.8823529411764706,0.6449579831932774,0.5,0.21428571428571427,0.3
6,1,0.3924050632911392,0.17647058823529413,0.4635854341736695,0.34375,0.7857142857142857,0.4782608695652174
7,1,0.5822784810126582,0.6274509803921569,0.6064425770308123,0.42424242424242425,0.5,0.45901639344262296
8,1,0.43037974683544306,0.19607843137254902,0.5252100840336135,0.36923076923076925,0.8571428571428571,0.5161290322580645
9,1,0.5384615384615384,0.56,0.5185714285714287,0.3888888888888889,0.5,0.4375
10,1,0.5641025641025641,0.72,0.5035714285714286,0.36363636363636365,0.2857142857142857,0.32
