X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.057494	-0.037657	0.000335	-0.095548	0.069616	0.019581	0.025624	0.151565	-0.084580	0.041551	0.148743	0.086999	0.159904	0.081688	-0.141994	-0.049001	0.056623	-0.046249	-0.054354	-0.089705
0.185477	0.128122	0.202023	-0.487797	-0.093760	-0.502342	-0.808446	-0.548956	0.613439	-0.585771	-0.368585	-0.227124	0.720312	-0.959528	0.995949	-0.585829	1.095407	-0.752501	-0.606272	-0.536292
-0.244308	-0.233447	-0.008454	-0.881683	-0.262602	-0.971163	-0.756411	-0.561555	0.442765	-0.533508	-0.134115	-0.414924	0.264356	-0.804745	0.813384	-0.461284	0.854760	-1.124088	-0.923971	-0.904789
-0.969200	-0.737352	-0.675951	-1.019847	-0.570964	-1.104833	0.199815	0.194966	-0.485495	0.035070	0.764081	-0.279623	-0.624734	0.450780	-0.550571	0.037120	-0.412739	-0.861184	-1.110949	-1.032972
-0.994331	-0.633001	-1.445827	-0.667183	-1.067630	-0.683972	1.178410	1.093575	-1.142511	0.412319	1.489877	0.274306	-0.551031	1.482422	-1.725693	0.072856	-1.354338	-0.061681	-1.255415	-0.804536
-0.025072	0.042838	-1.848761	-0.042147	-1.498968	0.009231	1.288911	1.331375	-0.694036	0.296840	1.304813	0.909590	0.609218	1.139024	-1.717424	-0.595431	-1.222566	0.624988	-1.078362	-0.367972
1.125627	0.515096	-1.610216	0.344294	-1.513832	0.359574	0.541931	0.677990	0.509359	0.072291	0.255555	0.926300	1.342393	-0.295340	-0.931703	-1.266656	-0.602362	0.572839	-0.375740	-0.081784
1.516877	0.410633	-0.767426	0.313372	-0.999373	0.157842	-0.226039	-0.253791	1.248464	0.155413	-0.852663	0.037685	0.485708	-1.386616	-0.409104	-1.067851	-0.375384	-0.061983	0.449891	-0.102310
1.067079	0.185680	0.388531	0.225776	-0.066220	-0.039096	-0.298590	-0.584959	0.787853	0.413151	-1.104174	-0.988074	-1.121467	-1.071156	-0.360264	0.150113	-0.469917	-0.387317	0.816096	-0.094116
0.355195	0.262151	1.426527	0.467782	1.088460	0.442096	0.192738	-0.119790	-0.317766	0.391551	-0.305757	-0.960462	-1.601288	0.275143	-0.005545	1.621436	-0.131558	0.263077	0.779382	0.407644
-0.229927	0.348931	1.895707	0.939554	2.027880	1.438470	0.508166	0.401589	-0.940144	-0.064861	0.672142	0.287965	-0.317025	1.333997	1.080418	2.232752	0.707696	1.461597	0.896863	1.277917
-0.751836	-0.005972	1.500508	1.187745	2.045175	1.967477	0.177143	0.202365	-0.708686	-0.637495	0.615755	1.540158	1.505318	1.265519	2.061068	1.438126	1.025341	1.967518	1.281644	1.705998
-1.260919	-0.604022	0.326351	0.886388	0.813211	1.296517	-0.439704	-0.497314	-0.324331	-0.934991	-0.702605	1.617851	2.331848	0.486873	1.731956	-0.204014	0.044011	0.983773	1.309075	1.039390
-1.521110	-0.814615	-1.101665	0.055312	-0.953645	-0.240996	-0.556821	-0.733065	-0.575987	-0.894636	-2.080914	0.810458	1.793665	0.074894	0.050256	-1.501416	-1.483296	-0.958708	0.441578	-0.414167
-1.358590	-0.454079	-2.132031	-1.023816	-1.980767	-1.600181	0.030820	-0.128712	-1.366795	-0.736955	-2.086250	0.393133	0.533255	0.579386	-1.698114	-1.752375	-1.927512	-2.445852	-0.966809	-1.623987
-0.965266	0.001386	-2.411775	-1.889847	-1.683467	-1.965894	0.580960	0.529772	-1.880187	-0.603139	-0.601427	0.904462	-0.683406	1.518999	-2.188363	-1.278334	-0.666521	-2.416525	-1.880536	-1.769858
-0.575874	0.152726	-1.941117	-2.016541	-0.594456	-1.258899	0.339780	0.391130	-1.515419	-0.318415	1.113900	1.491075	-1.319722	1.927204	-1.199302	-0.759475	1.147109	-0.968537	-1.503600	-0.813292
-0.074153	0.224808	-0.861341	-1.178633	0.412576	-0.029849	-0.344156	-0.223742	-0.426766	0.377027	1.787553	1.051171	-1.087302	1.258117	0.401166	-0.327945	1.835894	0.820519	-0.038380	0.613503
0.674796	0.548049	0.507447	0.180539	0.839839	0.901927	-0.388573	-0.286311	0.768624	1.274491	1.209704	-0.454359	-0.224221	-0.190443	1.433883	0.324347	0.935639	1.756168	1.298366	1.580063
1.248012	0.766495	1.524521	1.161205	0.528055	0.923856	0.481160	0.398633	1.529128	1.556323	0.047155	-2.062027	0.427430	-1.586098	1.243535	1.092138	-0.517634	1.415004	1.175280	1.311620
1.010590	0.154866	1.621499	1.190975	-0.421198	0.086939	1.172335	0.797549	1.604454	0.582546	-0.919579	-2.822893	0.167139	-2.214293	0.208354	1.307618	-1.249842	0.388846	-0.554284	-0.221447
0.140265	-1.199614	0.965950	0.534858	-1.414706	-0.892405	0.593060	-0.005280	1.032446	-1.117391	-1.236341	-2.467751	-0.700706	-1.914824	-0.502631	0.667616	-0.975098	-0.348035	-2.457496	-2.028555
-0.302874	-2.119332	0.328409	-0.101622	-1.607701	-1.253723	-0.844804	-1.533162	0.154291	-2.038976	-0.868238	-1.324424	-1.165303	-1.079387	-0.098619	-0.202666	-0.379960	-0.344710	-2.798538	-2.758410
0.293164	-1.665303	0.109823	-0.359070	-0.802350	-0.841882	-1.685633	-2.396137	-0.529401	-1.262940	-0.181000	0.010696	-0.799485	-0.334273	0.790870	-0.553295	-0.218048	0.089878	-1.302054	-1.913720
1.150500	-0.425764	-0.095556	-0.406712	0.226665	-0.093235	-1.263314	-1.892799	-0.777592	0.328503	0.314067	0.945009	-0.346449	-0.094624	0.743260	-0.507940	-0.577276	0.455791	0.635610	-0.310723
1.059091	0.119875	-0.668106	-0.460724	0.703421	0.500707	-0.406005	-0.698500	-0.814713	0.916956	0.411282	1.190390	-0.685901	-0.260628	-0.564767	-0.706947	-0.898643	0.563341	1.533383	0.821054
0.043580	-0.476403	-1.116265	-0.503372	0.838397	0.744320	-0.131103	0.133062	-0.884263	-0.029487	0.330856	0.952159	-1.522840	-0.387537	-1.693134	-1.169380	-0.595924	0.372186	1.246085	1.046235
-0.620202	-1.007429	-0.682525	-0.557607	1.305128	0.641042	-0.300687	0.390819	-0.706532	-0.991218	0.315331	0.688104	-1.665371	-0.207799	-1.152792	-1.154865	0.344145	-0.248842	0.635761	0.821942
-0.106278	-0.253916	0.368968	-0.830757	1.928927	0.231863	-0.134213	0.539840	0.202061	-0.345628	0.314921	0.613256	-0.562848	0.140971	0.682957	-0.229132	1.369399	-1.187716	0.279051	0.598943
0.949096	1.338063	0.876248	-1.281392	1.686005	-0.346703	0.370190	0.687498	1.591673	1.427548	0.206500	0.549650	0.998537	0.419711	2.017653	1.036919	1.885725	-1.782857	0.037265	0.320373
1.474696	2.289481	0.404855	-1.328512	0.247625	-0.795536	0.369623	0.415184	2.365433	2.333324	0.065586	0.267969	1.871113	0.534528	1.740979	1.655532	1.647017	-1.415223	-0.218536	-0.087048
1.398170	2.073833	-0.000824	-0.440900	-1.164715	-0.816011	-0.414311	-0.291291	1.817147	1.489042	-0.006702	-0.179636	1.744050	0.368363	0.462691	1.230854	0.765149	-0.363164	-0.117537	-0.218694
1.422584	1.632621	0.769453	1.044359	-1.080799	-0.349200	-0.984225	-0.594918	0.684114	0.172450	-0.096105	-0.499568	1.135951	-0.246937	-0.496516	0.217913	-0.297170	0.458377	0.642504	0.388875
1.688649	1.848053	2.245805	2.119233	0.368391	0.391695	-0.239075	0.254731	0.386324	-0.061590	-0.236240	-0.427420	0.575823	-1.068101	-0.526939	-0.594314	-0.742574	0.665932	1.609860	1.519931
1.469975	2.301794	2.897300	2.241374	1.570599	1.104128	1.537490	1.825808	1.238117	0.574062	-0.162018	0.007289	0.190791	-1.270426	0.015907	-0.678780	0.004554	0.795113	1.955230	2.368536
0.359498	2.018503	2.124608	1.938510	1.395491	1.578207	2.924255	2.845344	2.011382	0.707495	0.347131	0.405350	-0.018942	-0.265489	0.497539	-0.032889	1.435465	1.356540	1.485737	2.401875
-0.886836	0.942074	0.923759	2.011400	0.411880	1.728313	2.978078	2.602404	1.521971	-0.043253	0.997734	0.329047	0.060120	1.348512	0.596640	0.886915	2.096280	2.021803	0.873464	1.850111
-1.176542	0.014434	0.372316	2.365143	-0.113795	1.531127	2.045022	1.584467	0.139458	-0.580578	1.230316	-0.148194	0.428599	2.144283	0.373256	1.470009	1.102011	2.099254	0.765890	1.241446
-0.472016	-0.100934	0.202634	2.092976	0.076883	1.016993	0.906402	0.645597	-0.780944	-0.069889	0.896467	-0.429081	0.742175	1.383082	0.022513	1.361219	-0.723705	1.445861	0.989484	0.707370
0.127276	0.174177	-0.550163	0.743270	0.088809	0.316172	-0.218857	-0.009065	-0.686460	0.740406	0.337369	-0.170399	0.566230	-0.117265	-0.351419	0.705852	-1.702536	0.497337	0.851187	-0.023630
