X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.020746	-0.122417	0.112741	0.095650	0.206674	0.093258	-0.079510	-0.090979	0.055822	0.086686	0.015992	-0.068692	-0.195008	-0.096719	0.188309	0.180944	0.103191	0.053116	0.181267	0.354501
-0.023332	-0.071693	-0.288436	0.356752	-0.935824	1.048254	-0.020968	0.152823	-0.335274	-0.801690	0.599934	0.441177	0.573061	-0.470459	-0.199526	0.091809	1.716080	1.652031	0.403783	1.547629
0.562323	0.554402	-0.064892	1.237465	-1.330169	1.245047	0.577629	0.792087	0.084477	-0.900904	0.589078	0.629572	1.434028	0.624296	0.227766	0.196883	1.835777	1.942075	0.481393	1.904275
1.210742	1.217447	0.555194	2.152383	-1.099968	0.613966	1.276819	1.446886	0.848057	-0.207044	0.078063	0.361501	1.690006	1.964270	0.813022	0.204165	0.500555	0.825970	0.393917	1.224717
1.020297	0.996156	0.884668	1.853701	-0.798168	-0.283877	1.096730	1.315596	0.816228	0.489555	-0.412340	-0.182596	0.680116	1.475399	0.521954	-0.096753	-0.763203	-0.447728	0.228071	0.173172
0.100773	0.031153	0.727489	0.156289	-0.504101	-0.777074	-0.135762	0.217142	-0.275557	0.487830	-0.588213	-0.603145	-0.918523	-0.430559	-0.309096	-0.281990	-0.634493	-0.593151	-0.035960	-0.349726
-0.532549	-0.591875	0.433333	-1.510285	-0.007004	-0.527212	-1.387443	-1.081393	-1.491974	-0.023429	-0.492601	-0.595621	-1.533710	-1.419916	-0.575409	0.036971	0.506296	0.236121	-0.578826	-0.219154
-0.255022	-0.354418	0.206332	-1.727981	0.390741	0.205321	-1.613748	-1.677529	-1.849014	-0.344838	-0.206882	-0.164934	-0.612013	-0.692332	-0.302238	0.369263	1.164222	0.717772	-1.361872	-0.190940
0.554950	0.038143	-0.000090	-0.825673	0.147600	0.669480	-0.959489	-1.397608	-1.346243	-0.362581	0.255580	0.447519	0.597601	0.051449	-0.624785	-0.082138	0.703604	0.184777	-1.890866	-0.836145
1.083794	-0.278811	0.029130	-0.288479	-0.406242	0.328235	-0.392278	-0.727840	-0.789218	-0.693389	0.794895	0.914135	0.551604	-0.685110	-1.840982	-1.140016	0.035250	-0.500097	-1.734783	-1.702500
