source_value	source_label	bd_core20_index	bd_core20_name	hemisphere	construction
21	Frontal_Med_Orb_L	1	vmPFC_mOFC_L	L	union of source labels
22	Frontal_Med_Orb_R	2	vmPFC_mOFC_R	R	union of source labels
5	Frontal_Mid_2_L	3	dlPFC_L	L	union of source labels
6	Frontal_Mid_2_R	4	dlPFC_R	R	union of source labels
7	Frontal_Inf_Oper_L	5	vlPFC_L	L	union of source labels
9	Frontal_Inf_Tri_L	5	vlPFC_L	L	union of source labels
8	Frontal_Inf_Oper_R	6	vlPFC_R	R	union of source labels
10	Frontal_Inf_Tri_R	6	vlPFC_R	R	union of source labels
33	Insula_L	7	Anterior_Insula_L	L	complete ipsilateral insula; retain only voxels with affine-derived MNI y > 0
34	Insula_R	8	Anterior_Insula_R	R	complete ipsilateral insula; retain only voxels with affine-derived MNI y > 0
151	ACC_sub_L	9	sgACC_L	L	union of source labels
152	ACC_sub_R	10	sgACC_R	R	union of source labels
45	Amygdala_L	11	Amygdala_L	L	union of source labels
46	Amygdala_R	12	Amygdala_R	R	union of source labels
157	N_Acc_L	13	NAcc_L	L	union of source labels
158	N_Acc_R	14	NAcc_R	R	union of source labels
75	Caudate_L	15	Caudate_L	L	union of source labels
76	Caudate_R	16	Caudate_R	R	union of source labels
77	Putamen_L	17	Putamen_L	L	union of source labels
78	Putamen_R	18	Putamen_R	R	union of source labels
121	Thal_AV_L	19	Thalamus_L	L	union of source labels
123	Thal_LP_L	19	Thalamus_L	L	union of source labels
125	Thal_VA_L	19	Thalamus_L	L	union of source labels
127	Thal_VL_L	19	Thalamus_L	L	union of source labels
129	Thal_VPL_L	19	Thalamus_L	L	union of source labels
131	Thal_IL_L	19	Thalamus_L	L	union of source labels
133	Thal_Re_L	19	Thalamus_L	L	union of source labels
135	Thal_MDm_L	19	Thalamus_L	L	union of source labels
137	Thal_MDl_L	19	Thalamus_L	L	union of source labels
139	Thal_LGN_L	19	Thalamus_L	L	union of source labels
141	Thal_MGN_L	19	Thalamus_L	L	union of source labels
143	Thal_PuI_L	19	Thalamus_L	L	union of source labels
145	Thal_PuM_L	19	Thalamus_L	L	union of source labels
147	Thal_PuA_L	19	Thalamus_L	L	union of source labels
149	Thal_PuL_L	19	Thalamus_L	L	union of source labels
122	Thal_AV_R	20	Thalamus_R	R	union of source labels
124	Thal_LP_R	20	Thalamus_R	R	union of source labels
126	Thal_VA_R	20	Thalamus_R	R	union of source labels
128	Thal_VL_R	20	Thalamus_R	R	union of source labels
130	Thal_VPL_R	20	Thalamus_R	R	union of source labels
132	Thal_IL_R	20	Thalamus_R	R	union of source labels
134	Thal_Re_R	20	Thalamus_R	R	union of source labels
136	Thal_MDm_R	20	Thalamus_R	R	union of source labels
138	Thal_MDl_R	20	Thalamus_R	R	union of source labels
140	Thal_LGN_R	20	Thalamus_R	R	union of source labels
142	Thal_MGN_R	20	Thalamus_R	R	union of source labels
144	Thal_PuI_R	20	Thalamus_R	R	union of source labels
146	Thal_PuM_R	20	Thalamus_R	R	union of source labels
148	Thal_PuA_R	20	Thalamus_R	R	union of source labels
150	Thal_PuL_R	20	Thalamus_R	R	union of source labels
