index	name	aal3_voxel_count	reference_bold_voxel_count	coverage
1	vmPFC_mOFC_L	5752	130	0.022601
2	vmPFC_mOFC_R	6848	175	0.025555
3	dlPFC_L	36056	1020	0.028289
4	dlPFC_R	38880	1096	0.028189
5	vlPFC_L	28536	772	0.027054
6	vlPFC_R	28400	765	0.026937
7	Anterior_Insula_L	9552	268	0.028057
8	Anterior_Insula_R	8776	249	0.028373
9	sgACC_L	1343	39	0.029039
10	sgACC_R	1056	41	0.038826
11	Amygdala_L	1760	50	0.028409
12	Amygdala_R	1984	62	0.031250
13	NAcc_L	1297	37	0.028527
14	NAcc_R	1193	33	0.027661
15	Caudate_L	6344	178	0.028058
16	Caudate_R	6824	204	0.029894
17	Putamen_L	7967	218	0.027363
18	Putamen_R	8499	232	0.027297
19	Thalamus_L	8928	253	0.028338
20	Thalamus_R	8793	248	0.028204
