X1	X2	X3	X4	X5	X6	X7
-0.006495	-0.028114	-0.065334	0.029554	0.046169	0.050786	0.072002
-0.007590	-0.021261	-0.065772	0.016952	0.039506	0.055587	0.052639
-0.009366	-0.008901	-0.064753	-0.005497	0.027579	0.063496	0.019452
-0.011063	0.006566	-0.059001	-0.032818	0.012892	0.071563	-0.017822
-0.011697	0.022193	-0.044786	-0.058770	-0.001468	0.076342	-0.047611
-0.010233	0.035119	-0.019036	-0.077058	-0.012488	0.074799	-0.059360
-0.005794	0.043154	0.019607	-0.082554	-0.017884	0.065117	-0.046199
0.002129	0.045226	0.070048	-0.072298	-0.016618	0.047223	-0.006818
0.013494	0.041556	0.128487	-0.046104	-0.009180	0.022873	0.053906
0.027598	0.033559	0.188764	-0.006644	0.002451	-0.004715	0.125695
0.043068	0.023467	0.243228	0.040996	0.015143	-0.031608	0.194902
0.057983	0.013783	0.284013	0.090192	0.025214	-0.054099	0.247362
0.070124	0.006691	0.304440	0.133925	0.029181	-0.069628	0.271425
0.077325	0.003553	0.300292	0.165980	0.024504	-0.077425	0.260506
0.077871	0.004604	0.270688	0.181974	0.010201	-0.078732	0.214568
0.070872	0.008933	0.218360	0.180021	-0.012823	-0.076524	0.140224
0.056528	0.014735	0.149281	0.160948	-0.041791	-0.074771	0.049402
0.036218	0.019782	0.071678	0.128013	-0.072440	-0.077417	-0.043120
0.012369	0.022004	-0.005368	0.086219	-0.099715	-0.087301	-0.122785
-0.011901	0.020036	-0.073483	0.041363	-0.118665	-0.105284	-0.178260
-0.033305	0.013600	-0.126413	-0.000988	-0.125366	-0.129799	-0.203724
-0.048994	0.003629	-0.161005	-0.036404	-0.117707	-0.156961	-0.199942
-0.057130	-0.007907	-0.177581	-0.062207	-0.095876	-0.181222	-0.173899
-0.057299	-0.018446	-0.179622	-0.077707	-0.062446	-0.196466	-0.137089
-0.050662	-0.025445	-0.172829	-0.084044	-0.022020	-0.197314	-0.102826
-0.039795	-0.027030	-0.163764	-0.083679	0.019504	-0.180346	-0.083183
-0.028225	-0.022519	-0.158346	-0.079686	0.055950	-0.144983	-0.086212
-0.019736	-0.012714	-0.160511	-0.074984	0.081953	-0.093814	-0.114044
-0.017579	0.000153	-0.171324	-0.071671	0.093943	-0.032288	-0.162283
-0.023733	0.012795	-0.188717	-0.070610	0.090830	0.032196	-0.220807
-0.038394	0.021518	-0.207925	-0.071308	0.074249	0.091603	-0.275801
-0.059793	0.023010	-0.222530	-0.072120	0.048313	0.138733	-0.312589
-0.084408	0.015106	-0.225902	-0.070702	0.018907	0.168545	-0.318668
-0.107551	-0.002634	-0.212742	-0.064610	-0.007365	0.179054	-0.286317
-0.124215	-0.028676	-0.180402	-0.051914	-0.024381	0.171637	-0.214268
-0.130026	-0.059642	-0.129707	-0.031688	-0.027637	0.150674	-0.108104
-0.122123	-0.090829	-0.065092	-0.004300	-0.015111	0.122622	0.020640
-0.099762	-0.117012	0.005996	0.028559	0.012312	0.094698	0.156474
-0.064549	-0.133392	0.074327	0.064100	0.050936	0.073466	0.282615
-0.020226	-0.136491	0.130516	0.098837	0.094862	0.063590	0.383771
0.027934	-0.124841	0.166741	0.129103	0.136986	0.067013	0.448519
0.074013	-0.099309	0.178208	0.151551	0.170224	0.082702	0.470866
0.112437	-0.062999	0.164089	0.163571	0.188728	0.106988	0.450752
0.138872	-0.020760	0.127723	0.163550	0.188884	0.134402	0.393514
0.150859	0.021628	0.076052	0.150970	0.169912	0.158825	0.308507
0.148079	0.058424	0.018391	0.126343	0.133965	0.174703	0.207238
0.132214	0.084864	-0.035234	0.091061	0.085729	0.178086	0.101424
0.106458	0.097918	-0.075866	0.047189	0.031606	0.167292	0.001341
0.074808	0.096706	-0.097164	-0.002715	-0.021362	0.143104	-0.085260
0.041298	0.082537	-0.096443	-0.055743	-0.066626	0.108484	-0.153571
0.009341	0.058562	-0.075005	-0.108716	-0.099111	0.067910	-0.201546
-0.018690	0.029140	-0.037723	-0.158248	-0.115897	0.026484	-0.229279
-0.041571	-0.000959	0.008026	-0.200828	-0.116480	-0.010981	-0.238213
-0.059056	-0.027352	0.053855	-0.232964	-0.102623	-0.040731	-0.230422
-0.071487	-0.046700	0.091989	-0.251441	-0.077840	-0.060562	-0.208140
-0.079338	-0.057117	0.116680	-0.253671	-0.046658	-0.069980	-0.173627
-0.082825	-0.058274	0.125164	-0.238131	-0.013815	-0.070035	-0.129314
-0.081694	-0.051232	0.117974	-0.204779	0.016462	-0.062932	-0.078116
-0.075272	-0.038040	0.098570	-0.155390	0.040956	-0.051509	-0.023713
-0.062749	-0.021237	0.072405	-0.093681	0.057681	-0.038724	0.029367
-0.043627	-0.003338	0.045621	-0.025159	0.065837	-0.027240	0.075968
-0.018194	0.013563	0.023665	0.043337	0.065541	-0.019163	0.110855
0.012116	0.028039	0.010127	0.104398	0.057461	-0.015951	0.129495
0.044617	0.039383	0.006024	0.150994	0.042454	-0.018444	0.128920
0.075577	0.047499	0.009686	0.177494	0.021320	-0.026960	0.108441
0.100745	0.052699	0.017243	0.180577	-0.005272	-0.041400	0.070048
0.116100	0.055463	0.023617	0.159852	-0.036680	-0.061299	0.018338
0.118688	0.056243	0.023781	0.118079	-0.072053	-0.085818	-0.040030
0.107338	0.055351	0.014028	0.060893	-0.110060	-0.113685	-0.097294
0.083104	0.052955	-0.007028	-0.003937	-0.148673	-0.143133	-0.145777
0.049294	0.049156	-0.037938	-0.067618	-0.185115	-0.171884	-0.179083
0.011048	0.044108	-0.074510	-0.121644	-0.216028	-0.197237	-0.193072
-0.025485	0.038122	-0.110490	-0.159084	-0.237852	-0.216271	-0.186420
-0.054228	0.031715	-0.138723	-0.175633	-0.247379	-0.226166	-0.160690
