X1	X2	X3	X4	X5	X6	X7
-0.028295	0.258198	0.147786	0.060808	0.457265	0.321561	0.177238
-0.011456	0.251288	0.150294	0.060224	0.431396	0.316747	0.169448
0.018402	0.237299	0.152449	0.058172	0.380329	0.304596	0.152322
0.054426	0.216023	0.149432	0.053216	0.305757	0.280885	0.123564
0.088138	0.187419	0.136042	0.043932	0.210941	0.241127	0.081471
0.111182	0.151874	0.108497	0.029550	0.101226	0.182253	0.026394
0.117053	0.110433	0.065963	0.010488	-0.015762	0.104088	-0.038155
0.102457	0.064937	0.011383	-0.011401	-0.130441	0.010231	-0.105190
0.068022	0.018018	-0.048688	-0.032958	-0.232199	-0.091939	-0.164941
0.018228	-0.027072	-0.105236	-0.050220	-0.310840	-0.192189	-0.206509
-0.039436	-0.066792	-0.148701	-0.059211	-0.358278	-0.279131	-0.220173
-0.095909	-0.097768	-0.171195	-0.056840	-0.370120	-0.342338	-0.199835
-0.142295	-0.117285	-0.168474	-0.041684	-0.346729	-0.374406	-0.144976
-0.171544	-0.123763	-0.141173	-0.014464	-0.293466	-0.372505	-0.061595
-0.179741	-0.117094	-0.094936	0.021931	-0.219930	-0.339028	0.038220
-0.166752	-0.098787	-0.039377	0.062897	-0.138291	-0.281182	0.138129
-0.136093	-0.071874	0.013935	0.102972	-0.060991	-0.209581	0.220486
-0.094073	-0.040571	0.054026	0.136924	0.001711	-0.136117	0.269819
-0.048404	-0.009721	0.073006	0.160805	0.043812	-0.071589	0.276116
-0.006564	0.015887	0.067905	0.172755	0.064770	-0.023594	0.237165
0.025733	0.032239	0.041418	0.173340	0.069510	0.004843	0.159396
0.045637	0.036724	0.001342	0.165343	0.067173	0.015601	0.056957
0.053614	0.028585	-0.041177	0.153028	0.068827	0.014671	-0.050840
0.053153	0.009094	-0.074197	0.141057	0.084611	0.010435	-0.143238
0.049814	-0.018580	-0.087756	0.133279	0.120933	0.011393	-0.202147
0.049808	-0.049794	-0.076202	0.131703	0.178396	0.023885	-0.215800
0.058449	-0.079092	-0.039547	0.135877	0.250949	0.050309	-0.181173
0.078800	-0.101007	0.016498	0.142872	0.326548	0.088303	-0.104634
0.110817	-0.110871	0.081823	0.147877	0.389275	0.131056	-0.000686
0.151206	-0.105510	0.144257	0.145304	0.422532	0.168748	0.110956
0.194011	-0.083724	0.192395	0.130178	0.412657	0.190789	0.209333
0.231836	-0.046462	0.218260	0.099485	0.352221	0.188370	0.276420
0.257451	0.003316	0.219156	0.053180	0.242241	0.156764	0.300633
0.265423	0.061073	0.198269	-0.005411	0.092809	0.096820	0.278942
0.253426	0.121331	0.163860	-0.069915	-0.078103	0.015304	0.217156
0.222922	0.178419	0.127227	-0.131939	-0.247486	-0.076047	0.128377
0.179046	0.227188	0.099902	-0.182615	-0.391274	-0.162597	0.029977
0.129669	0.263586	0.090741	-0.214353	-0.488695	-0.229590	-0.060208
0.083814	0.285011	0.103580	-0.222453	-0.526130	-0.265077	-0.127629
0.049723	0.290389	0.136029	-0.206206	-0.499704	-0.262358	-0.163910
0.032968	0.279997	0.179708	-0.169254	-0.416066	-0.221423	-0.168267
0.035013	0.255096	0.221878	-0.119097	-0.291192	-0.149075	-0.147200
0.052543	0.217464	0.248141	-0.065804	-0.147439	-0.057672	-0.112581
0.077764	0.168941	0.245588	-0.020191	-0.009411	0.037245	-0.078602
0.099655	0.111113	0.205723	0.008207	0.100534	0.119980	-0.058315
0.105989	0.045192	0.126487	0.012955	0.166273	0.177722	-0.060542
0.085767	-0.027877	0.012957	-0.008035	0.180629	0.203006	-0.087838
0.031604	-0.107089	-0.123440	-0.052077	0.146302	0.195055	-0.135952
-0.058387	-0.190940	-0.267007	-0.112204	0.074889	0.159763	-0.194867
-0.179623	-0.276982	-0.400687	-0.178485	-0.015766	0.108314	-0.251161
-0.321203	-0.361504	-0.509158	-0.239902	-0.105320	0.054746	-0.291136
-0.467232	-0.439472	-0.581467	-0.286432	-0.175000	0.012962	-0.303999
-0.599122	-0.504801	-0.612636	-0.310912	-0.211188	-0.006186	-0.284403
-0.698495	-0.550984	-0.603977	-0.310321	-0.207835	0.002863	-0.233771
-0.750193	-0.571995	-0.562119	-0.286245	-0.167276	0.039262	-0.160159
-0.744854	-0.563369	-0.497038	-0.244429	-0.099359	0.095983	-0.076674
-0.680613	-0.523233	-0.419620	-0.193529	-0.019135	0.161317	0.001170
-0.563580	-0.453112	-0.339339	-0.143310	0.056356	0.221316	0.058595
-0.407018	-0.358289	-0.262587	-0.102668	0.111545	0.262672	0.084550
-0.229355	-0.247599	-0.192003	-0.077877	0.135328	0.275420	0.073917
-0.051342	-0.132603	-0.126896	-0.071389	0.123036	0.254928	0.028534
0.107112	-0.026210	-0.064559	-0.081450	0.077070	0.202777	-0.043145
0.229914	0.059094	-0.002082	-0.102570	0.006134	0.126369	-0.127629
0.307036	0.113127	0.061854	-0.126772	-0.076681	0.037389	-0.208848
0.335683	0.129705	0.125718	-0.145332	-0.156519	-0.050558	-0.270986
0.320203	0.107845	0.184744	-0.150678	-0.219540	-0.124615	-0.301134
0.270799	0.052216	0.231566	-0.138050	-0.255315	-0.175105	-0.291298
0.201323	-0.027285	0.257741	-0.106584	-0.258409	-0.197240	-0.239465
0.126591	-0.116824	0.255797	-0.059608	-0.228932	-0.191775	-0.149614
0.059744	-0.200621	0.221324	-0.004071	-0.172043	-0.164525	-0.030798
0.010122	-0.263350	0.154585	0.050769	-0.096604	-0.124865	0.104448
-0.017940	-0.292539	0.061251	0.095171	-0.013336	-0.083576	0.242025
-0.025244	-0.280576	-0.047975	0.120871	0.067141	-0.050501	0.368155
-0.016798	-0.225947	-0.158780	0.122809	0.135989	-0.032503	0.470971
-0.000075	-0.133482	-0.255455	0.100286	0.187288	-0.032144	0.541621
0.017132	-0.013521	-0.323447	0.057303	0.218492	-0.047335	0.574871
0.028787	0.119842	-0.351747	0.002020	0.230215	-0.072010	0.569226
0.032167	0.251161	-0.334630	-0.054587	0.225510	-0.097632	0.526709
0.028560	0.366225	-0.272454	-0.100635	0.208838	-0.115214	0.452402
0.022953	0.454372	-0.171405	-0.125450	0.185015	-0.117389	0.353855
0.022767	0.510083	-0.042297	-0.121526	0.158308	-0.100112	0.240405
0.035922	0.533535	0.101252	-0.085946	0.131863	-0.063622	0.122416
0.068634	0.530028	0.244886	-0.021016	0.107481	-0.012481	0.010428
0.123441	0.508376	0.375400	0.066005	0.085739	0.045301	-0.085787
0.197903	0.478607	0.482143	0.164049	0.066324	0.099886	-0.158209
0.284301	0.449444	0.557765	0.260035	0.048489	0.141592	-0.201508
0.370457	0.426103	0.598317	0.341022	0.031478	0.162869	-0.213773
0.441587	0.408913	0.602855	0.396317	0.014851	0.159833	-0.196883
0.482857	0.393083	0.572799	0.419189	-0.001344	0.133069	-0.156363
0.482197	0.369734	0.511299	0.407886	-0.016555	0.087539	-0.100674
0.432805	0.328030	0.422784	0.365789	-0.029825	0.031631	-0.039982
0.334882	0.258002	0.312796	0.300697	-0.039963	-0.024467	0.015439
0.196194	0.153494	0.188024	0.223394	-0.045749	-0.070712	0.056890
0.031329	0.014570	0.056400	0.145755	-0.046118	-0.099115	0.078702
-0.140277	-0.151182	-0.072957	0.078750	-0.040341	-0.105221	0.079155
-0.297234	-0.328835	-0.190127	0.030688	-0.028171	-0.088891	0.060654
-0.419521	-0.497897	-0.285195	0.006012	-0.009981	-0.054255	0.029068
-0.491674	-0.635449	-0.349426	0.004815	0.013130	-0.008854	-0.007630
-0.505282	-0.720127	-0.376635	0.023144	0.039271	0.037821	-0.041190
-0.460352	-0.736207	-0.364448	0.053986	0.065770	0.076126	-0.064971
-0.365321	-0.677009	-0.315157	0.088723	0.089304	0.098015	-0.075488
-0.235703	-0.546888	-0.235877	0.118761	0.106172	0.098443	-0.073261
-0.091616	-0.361330	-0.137867	0.137034	0.112730	0.076158	-0.062748
0.045390	-0.145029	-0.035043	0.139118	0.105941	0.033769	-0.051361
0.155675	0.071835	0.058098	0.123774	0.083977	-0.022884	-0.047735
