X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110
0.127435	-0.182556	0.162651	0.170645	0.177956	-0.074820	0.282156	-0.225994	-0.034723	-0.001580	-0.042107	-0.006572	0.370516	0.259702	0.334861	0.167373	0.394117	0.318764	0.123369	0.126644	0.466216	0.092007	0.285725	0.036823	-0.003847	0.063515	-0.040018	0.339313	0.346819	0.125723	0.175521	-0.172756	0.282539	0.306620	-0.176538	0.085420	0.366410	0.095655	0.319878	-0.224695	0.334509	-0.092850	0.235640	-0.156176	0.394846	0.148812	-0.157040	-0.131976	0.625603	0.479905	0.087747	0.012418	0.191332	0.058103	0.030920	-0.057854	-0.057751	-0.036301	0.196491	0.145956	-0.148338	-0.152570	-0.146910	0.017656	0.306212	0.086796	0.358906	0.442308	0.000262	-0.100325	-0.076500	-0.096550	0.143195	0.377368	0.242490	-0.032496	0.260983	0.077815	-0.049671	-0.223241	-0.001491	-0.094040	0.257751	0.238448	0.202807	0.222417	0.348941	0.154106	0.304721	0.309363	0.185174	0.202359	-0.019406	-0.057241	0.202606	-0.146345	0.273635	-0.148165	-0.165434	0.265763	0.217098	0.288621	0.142690	0.236208	-0.353961	0.039204	-0.050474	0.158087	0.010559	0.046848
0.184161	0.365498	1.321810	0.850077	0.633804	1.505288	1.038977	0.881504	-0.002819	0.709719	0.149221	0.104246	1.375154	1.632317	1.380496	1.506317	1.619374	2.286379	-0.854240	1.275401	-0.183050	1.269346	0.542950	1.455523	0.981241	1.272001	1.353586	0.968409	1.227100	1.150180	0.234812	0.104680	1.373957	1.275070	1.923716	1.642516	1.200453	0.223040	1.123058	1.187419	0.120983	1.137173	1.842907	2.273028	0.902281	1.920182	1.554841	1.559263	0.696537	0.137700	1.206766	2.613316	0.381830	0.628492	0.507279	1.235361	1.332684	1.320191	1.471787	2.294220	2.939614	2.766752	1.311018	1.716294	0.543951	0.575163	0.676944	-0.276237	0.491999	0.704623	1.965268	1.279902	1.319929	0.531634	1.025847	0.786764	1.739257	0.946141	1.729697	0.417646	0.255382	1.059602	1.512797	0.981478	0.680230	1.327479	1.414911	0.485982	1.536087	1.636182	1.624114	2.017387	0.559227	1.911796	2.254308	1.220205	1.276473	-0.070711	-0.005310	0.214771	1.648541	1.866749	-0.825622	1.528535	0.471658	0.151079	0.807231	1.298849	1.119694	0.584224
-0.174392	0.044256	0.922698	0.661926	0.458108	1.032966	0.882446	0.391974	0.391481	0.472342	0.434482	-0.405509	0.732585	1.000632	1.140048	1.588328	1.559667	1.862692	-0.859629	0.980779	0.025973	1.564070	0.697264	1.546622	1.294393	1.029533	1.915659	0.927584	1.416276	1.087932	0.303079	0.428484	0.937348	0.728369	1.603746	1.240509	0.485082	-0.552679	0.674919	0.608012	0.459533	0.907112	2.037197	2.311861	0.363020	2.018242	1.633038	1.635659	0.406565	0.097364	0.811948	1.977531	0.797443	0.987441	0.357355	0.533778	1.071642	0.952678	1.751947	2.213732	3.229306	2.894693	1.322747	1.747887	0.608623	0.900991	0.958670	-0.642203	0.763871	0.736979	1.788803	1.120366	1.130205	0.532819	1.252058	0.836875	1.506196	0.660201	1.643373	0.576485	-0.176377	0.846330	1.086001	0.654568	0.307406	0.864820	1.135109	0.022740	1.216977	1.092374	1.347895	1.438889	0.508165	2.033787	2.242673	1.761041	0.934901	0.108369	0.118799	-0.048927	1.648351	1.805363	-0.770968	1.531048	0.724476	0.114069	0.933989	1.568563	1.194527	0.685984
-0.642058	-0.892400	-0.778560	-0.357471	-0.132553	-1.075551	0.077331	-1.136329	0.703689	-0.679125	0.536595	-1.130046	-0.999642	-1.008142	-0.385520	0.225003	0.237154	-0.572217	-0.235548	-0.715664	0.744648	1.076609	0.477129	0.259750	0.635843	-0.447365	1.267050	0.245373	0.723994	0.166479	0.404455	0.601606	-0.628083	-0.844513	-0.645854	-0.659261	-1.255916	-1.623030	-0.745412	-1.475312	1.036121	-0.657388	0.901040	0.202853	-0.891074	0.409103	0.246644	0.257837	-0.064837	0.151841	-0.699884	-1.153525	1.084191	0.544743	-0.203818	-1.449157	-0.416978	-0.759500	1.002918	0.026574	0.859870	0.314903	0.022943	0.225930	0.263615	0.726894	0.939087	-0.478363	0.566632	-0.072635	-0.312049	-0.340320	-0.318581	0.234127	0.629774	0.209090	-0.253204	-0.480948	-0.271737	0.187156	-1.027156	-0.564749	-0.703955	-0.549785	-0.803871	-0.814855	-0.482792	-0.846743	-0.482353	-0.815966	-0.411267	-1.059392	-0.011358	0.427241	0.338071	1.305234	-0.426939	0.126981	-0.013011	-0.395625	0.168440	0.281726	0.027061	0.155832	0.184615	-0.299895	-0.077912	0.542239	0.097455	0.259098
-0.583521	-1.476911	-2.088464	-1.262576	-0.435535	-2.572205	-0.349930	-1.825406	0.334247	-1.734269	0.193514	-1.216584	-1.800252	-2.065214	-1.858196	-1.381046	-1.058874	-2.436458	-0.055597	-2.322456	0.979967	0.633824	-0.209434	-1.189936	-0.616272	-1.678036	-0.100506	-0.317182	-0.311963	-0.460774	0.500599	0.443207	-1.547064	-1.628285	-2.152830	-1.888249	-2.081661	-1.630098	-1.714555	-2.799969	1.097413	-2.070613	-0.181085	-1.616906	-1.559418	-1.303337	-1.020973	-1.004738	-0.166970	-0.010169	-1.580868	-3.145302	0.758946	-0.826319	-0.420758	-2.305782	-1.291434	-1.867503	0.153954	-1.988392	-1.407382	-2.226650	-1.123379	-1.193561	-0.397485	-0.022556	0.469643	-0.077048	0.020350	-0.847797	-2.015670	-1.481943	-1.553512	-0.333999	-0.437580	-0.293446	-1.736431	-1.173607	-2.164589	-0.313351	-1.364908	-1.774138	-1.985186	-1.419447	-1.721778	-1.954122	-2.047858	-0.970009	-2.015872	-1.952253	-1.884889	-2.830041	-0.351519	-1.155951	-1.416584	0.457865	-1.281002	-0.269267	-0.481177	-0.562079	-1.367956	-1.001510	0.466004	-1.351388	-0.770133	-0.996954	-1.680193	-1.184876	-1.158467	-0.374620
-0.014095	-1.340858	-1.812172	-1.118239	-0.262839	-2.136400	-0.033140	-1.007782	-0.385190	-1.764198	-0.311532	-0.651049	-0.732246	-1.151116	-1.898212	-1.600156	-1.129141	-1.978327	-0.579769	-2.440863	0.500531	0.684639	-0.891056	-1.595859	-1.550449	-1.687357	-1.025742	0.019536	-0.788550	-0.196373	0.498171	0.138387	-0.854318	-0.763231	-1.333840	-1.256243	-1.003390	-0.356134	-1.380688	-2.122355	0.466430	-2.157953	-0.130289	-1.375056	-0.990031	-1.574083	-1.129326	-1.107344	0.318307	-0.208945	-0.883301	-1.962721	0.030718	-1.962626	-0.008731	-1.160656	-0.681734	-1.228836	0.065003	-1.908662	-1.365988	-2.324840	-1.065080	-1.238397	-0.751076	-0.787393	-0.091891	-0.091141	-0.257735	-0.487700	-1.724917	-1.268576	-1.315778	-0.797950	-0.982251	-0.124352	-1.572970	-0.796003	-2.359403	-0.455435	-0.767249	-1.804180	-1.541621	-1.096865	-1.689219	-1.502263	-2.146392	0.118300	-2.252268	-1.217886	-1.898060	-2.217600	-0.306420	-1.418254	-1.500894	-0.041022	-0.745576	-0.748311	-0.860566	-0.502696	-1.401685	-0.770865	0.103861	-1.534196	-1.419861	-1.348058	-2.388538	-2.093062	-1.227312	-0.687933
0.272580	-1.060602	-0.362043	0.051438	-0.172975	-0.695377	0.208942	0.108783	-0.520609	-0.918540	-0.443106	-0.278211	1.061891	0.452962	-0.501928	-0.062552	-0.168536	-0.053059	-1.021925	-1.213912	-0.031375	0.782357	-0.910299	-0.948905	-1.454871	-0.830244	-0.770588	1.165313	-0.309851	0.346870	0.414210	0.082078	0.595379	0.803625	0.669248	0.322527	1.008051	0.996371	-0.368056	-0.424495	-0.394054	-1.178945	0.655689	0.226746	0.096336	-0.529897	-0.584079	-0.555775	0.824578	-0.157227	0.602461	0.758749	-0.362148	-1.457707	0.470576	0.331450	0.394635	0.301128	0.507288	-0.223561	0.249988	-0.364331	-0.272001	-0.338035	-0.350772	-0.935952	-0.287785	-0.775372	0.102026	1.017114	-0.197175	-0.313775	0.091531	-0.706336	-0.486660	0.385205	-0.240687	-0.088203	-1.058693	-0.322854	0.154781	-1.007243	-0.044858	0.051742	-0.812724	-0.122329	-0.764209	1.552971	-1.458757	0.375088	-1.038717	-0.201827	-0.316000	-0.762503	-0.446657	-0.113754	0.550064	-0.598269	-0.533280	-0.291969	0.193772	0.477613	-0.405810	-0.149611	-1.350222	-0.831753	-1.181447	-1.103868	0.177611	-0.340652
-0.274377	-1.122102	0.970968	1.262096	-0.677470	0.073124	-0.562511	0.318211	0.102212	-0.175318	-0.184763	-0.538001	1.885719	1.101036	0.923930	1.720830	0.392692	1.197175	-0.793612	-0.081886	-0.214592	0.251270	-0.275869	-0.282610	-0.487542	0.053966	0.053810	2.023947	0.480562	0.184610	0.403709	0.417892	1.318293	1.657761	1.722219	1.287644	2.309966	1.397955	0.082310	0.670619	-1.192670	-0.251480	0.851716	1.201098	0.606665	0.330658	-0.422351	-0.411364	0.430908	-0.223490	1.514014	2.215815	-0.148692	0.384123	0.314919	0.341390	0.578547	1.130367	0.390777	0.855687	0.905078	1.225940	0.082018	0.164630	0.277408	-0.629279	-0.316745	-1.428569	0.539453	2.220944	0.688221	0.130644	1.199054	-0.107333	0.427087	0.522101	0.666337	-0.043445	0.133325	-0.402099	0.552204	-0.313275	0.949780	0.952750	0.194738	0.855752	0.722255	2.044404	-0.594206	1.209864	-0.594285	1.132922	-0.697005	-0.376932	0.119282	-0.307655	1.368227	0.368184	0.555878	0.136053	1.858702	1.151345	-0.305400	1.499749	-0.740462	0.206020	1.109324	1.006811	1.783486	0.440794
-1.114622	-1.093944	1.363024	1.549451	-1.490099	-0.185817	-2.076672	-0.003612	0.571621	-0.112093	-0.109054	-0.795261	1.339569	0.698478	1.046289	1.852707	-0.517541	0.835803	-0.248253	-0.069590	-0.450079	-0.886382	0.191040	-0.404284	0.509997	0.683577	0.092846	1.543126	0.518750	-0.838184	0.503298	0.887659	0.887964	1.435468	1.247312	1.206422	2.280017	1.141696	-0.411846	0.825433	-2.054348	0.003046	-0.207951	0.691454	0.401364	0.014011	-0.777342	-0.826782	-1.047963	-1.029743	1.403906	1.757135	0.155384	1.609226	-0.449250	-0.805838	-0.111562	0.795524	-0.876992	0.005161	-0.544322	0.857139	-0.313954	-0.224309	0.139695	-0.626797	-0.838161	-1.020598	0.165069	1.708065	0.212034	-0.211760	1.070617	0.394110	0.742949	0.171511	0.299465	-0.571843	0.194538	-0.758763	0.385546	-0.062603	0.757251	0.996948	0.778050	0.939165	1.003113	1.263947	-0.170058	0.877363	-0.830593	1.027844	-1.087643	-0.615845	-0.503087	-0.928185	1.147234	1.364388	1.647177	0.805472	1.835481	0.370825	0.329428	1.818967	-0.023152	0.823877	2.446995	2.146704	1.997517	0.931975
-1.145684	-0.256301	0.930019	0.890916	-1.757125	-0.418848	-2.923745	0.321770	0.131520	-0.264376	-0.577448	-0.222843	0.387662	0.299213	-0.009228	0.166279	-2.273859	-0.155589	0.017917	-0.622546	-1.150610	-1.874238	-0.190087	-0.980200	0.887302	1.256880	-1.044781	-0.019325	-0.431034	-1.812165	0.486725	1.132283	0.154133	0.812885	0.471881	0.791247	1.569565	1.140924	-0.991752	0.906192	-2.844246	-0.045780	-1.731773	-0.333494	0.264008	-0.810191	-0.911502	-1.048764	-2.542069	-2.251353	0.834959	0.943300	0.065035	1.040298	-1.087804	-1.292697	-0.589293	0.150393	-2.516167	-1.745043	-2.527844	-0.634640	-0.648338	-0.703002	-0.843337	-1.174226	-1.838241	0.446655	-0.986772	-0.104834	-0.632881	-0.462251	0.262314	0.359023	0.289239	-0.068850	-0.638964	-0.654209	-0.276570	-0.762017	0.337600	0.092318	0.005189	0.507972	0.953593	0.691343	0.115902	0.129965	-0.068159	0.199699	-0.848441	0.497539	-0.950348	-0.787954	-1.439871	-1.530481	0.293997	1.339666	1.795608	1.310442	-0.028051	-1.113166	0.789247	0.581429	0.492972	0.519201	1.831293	1.204554	0.661760	0.623119
