X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110
-0.132740	-0.156592	0.065323	-0.291912	-0.344891	-0.049848	-0.164045	-0.251062	-0.410322	-0.498900	-0.050671	-0.152498	-0.196529	-0.115857	0.009797	-0.513235	-0.175893	-0.054566	-0.205514	-0.223402	-0.067390	-0.158375	-0.362232	-0.471359	0.007350	-0.459516	-0.137369	-0.143924	-0.142454	-0.277406	0.154028	0.012844	-0.206489	-0.178245	0.143635	0.016675	0.281539	-0.023038	-0.032604	-0.127450	-0.023501	-0.065063	-0.003275	-0.075278	0.135835	-0.112341	-0.170101	-0.168456	-0.026884	0.260941	-0.082539	-0.023558	-0.224712	-0.111323	-0.047711	-0.078440	-0.073456	-0.091650	-0.137858	-0.070966	0.077865	0.063071	-0.106948	-0.091891	0.065530	-0.220649	-0.042580	0.100663	-0.005898	0.202734	-0.068380	-0.120423	-0.097513	0.021999	0.012238	0.127080	-0.087499	-0.061843	-0.062898	-0.145162	0.072359	-0.007070	-0.345152	-0.195845	-0.073015	-0.377432	-0.146879	0.041135	-0.340839	-0.503781	-0.134205	-0.339414	-0.050272	-0.040328	0.204891	0.122815	-0.116700	-0.073359	-0.088461	-0.037579	0.051064	-0.115936	-0.360747	-0.099638	0.003308	-0.262900	-0.092328	-0.125298	-0.120317	0.044925
0.612129	0.686276	-0.224244	-0.120232	-0.699226	0.769356	-0.334760	-0.183263	-0.437749	1.152049	-1.051308	-0.460048	-0.578833	-0.054442	0.714510	0.788904	0.618553	0.106732	1.347136	0.796460	-0.264868	0.303185	1.122452	1.319015	-0.089614	0.580044	1.031132	0.591335	-0.898004	0.918392	-0.623777	-0.462730	-0.383787	-0.076629	-1.024873	-1.545142	-0.822766	-0.843765	0.646564	-0.332165	0.323622	0.088425	-0.307604	-0.511903	0.136050	-0.277335	-0.258487	0.075140	-0.042575	-0.037308	0.495962	0.018017	0.221858	0.138338	0.257834	0.575643	0.462971	0.954738	0.037057	0.334547	-0.060826	0.291147	0.143073	-0.188915	0.636199	0.989373	-1.110027	-0.044723	-0.782151	-0.071227	0.043310	0.131025	-1.157083	-0.418561	-1.304392	-0.396415	-0.843232	-0.254180	0.417843	-0.495973	-0.299790	0.433499	0.422741	0.100059	0.869577	0.142510	0.344789	0.411376	0.511953	1.049026	1.151553	0.529619	-0.219332	-0.118672	0.239511	0.096792	0.730404	0.412862	0.273922	0.348345	-0.454974	-0.506829	0.399271	0.577782	0.462583	0.298147	0.166402	-0.028318	0.522225	0.199076
0.640188	0.432713	-0.238533	-0.167373	-0.716419	0.341601	-0.278920	-0.543371	-0.064626	0.763504	-1.070579	-0.839985	-0.448589	-0.046395	0.566936	0.686575	0.447832	0.199632	1.441271	0.596352	-0.092625	0.274131	1.328862	1.197288	-0.192887	0.629138	0.659150	0.584705	-0.770032	1.038897	-0.532445	-0.144410	-0.208653	0.061561	-1.011270	-1.358958	-0.776471	-0.465919	0.460733	-0.455684	0.173697	-0.219491	-0.590781	-0.747689	-0.165062	-0.275572	-0.061336	0.282177	-0.015916	-0.074940	0.804336	0.063856	-0.106641	0.242725	0.245781	0.375079	0.477448	0.686030	0.206581	0.199126	-0.074489	0.177404	-0.038641	-0.183008	0.472184	0.706172	-1.149964	-0.407164	-1.084900	-0.407093	-0.070518	0.120755	-1.093997	-0.297420	-1.214911	-0.455694	-1.093578	-0.409611	0.334192	-0.420722	-0.179375	0.111588	0.533324	0.028736	0.754273	0.547658	0.141079	0.536555	0.268097	0.743640	0.907192	0.390551	-0.120901	-0.291050	0.398352	0.179503	0.697243	0.115780	-0.123891	-0.072207	-0.678960	-0.501838	0.194085	0.406046	0.317020	-0.221589	-0.095265	-0.110296	0.119870	0.254171
0.023501	-0.550983	-0.010017	-0.380556	-0.321021	-0.831393	-0.014622	-0.772272	0.426146	-0.968570	-0.160726	-0.952912	0.015637	-0.149701	-0.246700	-0.366391	-0.433008	0.071285	0.266391	-0.547913	0.176564	-0.189737	0.369501	-0.411853	-0.065972	-0.133109	-0.672484	-0.042752	-0.047198	0.233443	0.216727	0.672082	0.141527	0.153224	0.166710	0.236481	0.186667	0.771327	-0.394206	-0.272866	-0.371098	-0.537286	-0.577519	-0.557826	-0.513906	-0.089233	0.213202	0.338031	0.067338	-0.104110	0.627231	-0.023795	-0.895170	0.200136	-0.119590	-0.524048	-0.060966	-0.720720	0.145227	-0.349694	-0.080629	-0.213571	-0.454182	-0.080967	-0.214867	-0.642036	-0.135110	-0.792487	-0.750536	-0.502446	-0.469105	-0.206529	0.070012	0.127836	-0.143005	-0.333833	-0.758032	-0.433873	-0.337855	-0.096942	0.154069	-0.617388	0.024918	-0.363495	-0.241196	0.702937	-0.444170	0.487979	-0.765423	-0.959332	-0.622828	-0.524590	0.104219	-0.468620	0.522811	0.290632	-0.020510	-0.631063	-0.965551	-0.872391	-0.550762	-0.037243	-0.620768	-0.480175	-0.362845	-1.188922	-0.721144	-0.235878	-1.032061	0.248051
-0.578181	-0.900959	0.162344	-0.570183	0.098871	-1.185872	0.160706	-0.081140	0.401107	-1.618675	0.687249	-0.476262	0.137754	-0.383448	-0.803728	-0.829906	-0.868892	-0.181832	-0.764943	-1.297472	0.075617	-0.507373	-0.594915	-1.365777	0.352133	-0.740675	-1.192374	-0.551115	0.248223	-0.417297	0.688792	0.948528	0.187454	0.041691	1.344701	1.324942	0.821844	1.401580	-1.000665	0.233846	-0.741739	-0.064040	-0.041864	0.086830	-0.455292	0.125789	0.145404	0.149039	0.058585	-0.500012	0.039793	-0.336030	-1.173145	0.113786	-0.592360	-1.139282	-0.713053	-1.816461	-0.277617	-0.638687	-0.196493	-0.396612	-0.521113	0.038847	-0.672636	-1.445788	0.970094	-0.746439	0.016977	-0.015130	-0.870104	-0.594130	1.193748	0.130757	0.282292	-0.645627	-0.211394	-0.308097	-1.032351	-0.049445	0.003415	-0.784413	-0.572618	-0.737692	-1.027070	0.401327	-0.520082	0.434286	-1.332823	-1.996604	-1.821295	-1.113945	0.111086	-0.502453	0.350603	0.230175	-0.572816	-0.855138	-1.296877	-0.967451	-0.181823	0.514800	-0.832381	-1.175208	-0.888181	-1.124085	-0.983948	-0.196815	-1.661288	0.260311
-0.731844	-0.019994	0.092157	-0.539983	0.070639	-0.152441	-0.034781	1.206368	-0.174493	-0.199837	0.677914	0.312688	-0.360191	-0.621954	-0.555275	-0.214917	-0.207746	-0.111952	-0.743597	-0.863839	-0.306301	-0.195744	-0.776137	-0.468009	0.592560	-0.651000	-0.426760	-0.513991	-0.204406	-0.219615	0.392665	0.233460	-0.147874	-0.249876	1.435322	0.814732	0.441871	0.692079	-0.840927	0.663961	-0.549947	1.104668	0.684262	0.793461	-0.068437	0.144078	-0.288612	-0.185767	-0.262096	-1.033660	-0.492354	-0.626598	-0.591683	0.074136	-0.832644	-0.776349	-0.957847	-1.472293	-0.716445	-0.245464	-0.273301	-0.000478	-0.091928	0.082789	-0.635285	-1.011004	1.187694	-0.144527	0.777152	0.729100	-0.844439	-0.677567	1.208504	-0.404156	-0.511571	-1.300514	0.108153	-0.187090	-1.113937	-0.407720	-0.669206	-0.135360	-0.836853	-0.811559	-0.887222	-0.385524	0.170504	0.347257	-0.755364	-1.280865	-1.550743	-0.723112	-0.188829	-0.419253	-0.094807	-0.088479	-0.549067	-0.265574	-0.740259	-0.086732	0.274055	0.665362	0.026626	-1.023863	-0.684874	0.142362	-0.376164	-0.074697	-1.052494	0.200994
-0.518488	1.147982	-0.057962	-0.078120	-0.252923	1.170693	-0.453745	1.835970	-0.539643	1.757053	0.071720	0.797626	-0.874487	-0.567166	0.205277	0.498288	0.969158	0.430354	-0.034356	0.283210	-0.489726	0.541427	-0.379367	1.213810	0.225694	-0.101571	0.389177	-0.147248	-0.582421	0.486897	-0.278381	-0.753673	-0.359808	-0.387464	0.494392	-0.359492	-0.375574	-0.473935	-0.186479	0.635024	0.008187	1.843114	0.892732	0.982461	0.128481	-0.088638	-0.654632	-0.390792	-0.740381	-0.958462	-0.494366	-0.466799	0.274028	0.131564	-0.616175	0.226291	-0.559915	-0.013373	-0.631001	0.460576	-0.137516	0.650780	0.313111	-0.017115	-0.393213	-0.049371	0.423683	0.560733	1.057542	0.844738	-0.302751	-0.340641	0.180487	-0.716599	-1.235842	-1.353214	0.134070	-0.182411	-0.428649	-0.673647	-0.996934	0.589919	-0.624670	-0.471493	-0.068156	-1.127292	0.925291	0.159385	0.453688	0.284991	-0.153480	0.286346	-0.535152	-0.347452	-0.435314	-0.454328	-0.174899	0.420506	0.181779	0.920059	0.655483	0.314155	1.047848	-0.173601	0.088761	1.176708	0.755574	-0.058358	0.213779	-0.124623
-0.096499	1.270356	-0.041602	0.727944	-0.236557	1.351249	-0.551739	1.086050	-0.130563	2.194910	-0.282117	0.729691	-0.575536	-0.001955	0.831244	0.461871	1.561517	0.819736	0.518624	1.147659	-0.298137	0.965472	0.019008	1.803463	-0.386267	0.491564	0.279692	0.233042	-0.114835	0.921855	-0.610579	-1.001994	-0.040769	-0.073103	-0.491316	-0.668044	-0.718042	-0.850364	0.443867	0.201693	0.361332	1.183106	0.371263	0.494597	0.046515	-0.233144	-0.521812	-0.243190	-0.711900	0.082570	0.001179	0.170316	0.817757	0.292088	-0.016670	0.901188	0.245387	1.240134	0.031141	0.718611	0.075492	0.755760	0.254204	-0.156754	-0.035265	0.608899	-0.612381	0.816452	0.635673	0.051954	0.421640	0.245867	-0.906482	-0.189859	-0.563633	-0.145286	0.180238	-0.082760	0.667341	-0.267586	-0.353639	0.642328	-0.000843	0.210736	0.724892	-1.048410	0.947093	-0.008853	1.289329	1.235880	1.196524	1.082917	-0.558100	-0.210697	-0.261856	-0.396091	0.256643	0.445144	0.764848	1.141355	0.769759	-0.151710	1.047539	0.759553	0.706984	0.858034	1.420821	-0.037588	1.088290	-0.633315
0.529875	0.206522	0.078704	1.195255	0.244371	0.177227	-0.037784	-0.432769	0.556912	0.791626	-0.090483	0.365108	0.485525	0.801571	0.916939	0.030398	1.122571	0.373665	0.589600	1.183140	0.029854	0.586659	0.177993	0.799091	-0.456488	0.927314	-0.246042	0.600624	0.717062	0.688559	-0.261042	-0.375567	0.480503	0.461160	-0.759119	0.008999	-0.507949	-0.424687	0.781116	-0.309118	0.144519	-0.606562	-0.237786	-0.174166	0.239516	0.196795	0.173965	0.256475	0.252269	1.439409	0.468369	0.675513	0.976207	0.432756	0.581506	0.686607	0.856619	1.359174	0.676819	0.265960	0.095192	0.001818	0.009936	-0.034156	0.632715	0.885245	-1.214528	0.515620	-0.262785	-0.762830	0.987738	0.883508	-1.252123	0.741126	0.949051	1.625248	0.488018	0.460218	1.638351	0.790226	0.645608	0.081905	0.669687	0.860790	0.988239	-0.097997	0.205159	-0.047689	1.170293	1.143499	1.648091	1.125506	-0.034344	0.248127	0.459913	0.378459	0.624276	-0.085416	0.768826	0.527504	0.452572	-0.300100	-0.016512	1.250936	0.637302	-0.252387	0.919246	0.251349	1.206402	-0.863665
1.141930	-0.883481	0.013200	0.659747	0.542506	-1.207691	0.639288	-1.456908	0.545520	-0.946010	0.129504	0.029403	1.225412	1.075360	0.454352	-0.066704	0.158234	-0.586060	0.420245	0.533557	0.269159	-0.300814	0.183143	-0.614036	0.115564	1.041523	-0.268555	0.908930	0.724671	-0.035715	0.513513	0.357532	0.454275	0.557884	-0.494804	0.447399	-0.383127	-0.164613	0.793748	-0.607959	-0.380967	-2.176494	-0.250340	-0.409479	0.942963	1.111903	1.063659	0.893171	1.491630	1.941290	0.422777	0.409662	0.822207	0.312659	0.761526	-0.048761	0.761389	0.583030	0.683433	-0.394052	-0.089106	-0.944131	0.077118	0.436373	1.330941	1.019288	-1.231327	-0.057309	-1.115596	-0.724552	1.242517	1.392909	-0.903801	1.084686	1.583578	2.416106	0.855621	1.347229	1.998503	1.772883	0.882570	-0.479758	0.793649	0.910840	0.607604	0.746584	-0.650615	-0.134512	0.259614	0.551921	1.161319	0.462685	0.867586	0.980953	1.231240	1.403816	0.792671	-0.409955	0.427826	-0.222725	-0.264580	-0.065397	-1.007112	1.120915	0.078000	-0.828541	-0.375165	0.716800	0.978540	-0.521669
