X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55
0.205362	0.183384	0.036926	0.098235	0.061275	-0.001404	0.124227	0.413649	0.336129	0.130057	0.211573	0.094336	0.084300	0.177925	0.249670	0.188118	0.084794	0.178992	-0.027192	0.103707	0.095256	0.189789	0.210266	0.103188	0.045728	0.127977	0.083849	0.272415	0.243543	0.143162	0.203522	0.160028	0.204143	0.026325	-0.007316	0.092108	0.156931	0.009591	0.079703	0.113416	0.200654	0.075079	0.106316	0.287504	0.133059	0.129397	0.163885	0.194338	0.045337	-0.045213	0.022927	-0.061386	0.072503	0.081701	-0.088289
0.992745	-0.001317	0.911702	1.304370	0.462020	1.482023	-0.306863	0.278485	0.131238	0.412143	0.303810	0.668847	1.340521	1.198323	0.870391	0.040445	-0.374940	-0.188986	0.755966	0.973883	0.596750	0.132938	-0.645756	-0.734408	0.016414	-0.100242	-0.145586	0.882107	0.116443	-0.584915	-0.871568	-0.673467	-0.028840	0.933680	-1.339564	-0.694830	0.118128	0.701426	-0.104900	-0.762451	0.780616	0.006885	-0.815066	-1.476519	0.345738	-0.302545	-0.976658	-1.240427	0.599145	1.837278	1.787735	0.275602	0.093990	0.079886	0.982520
0.452268	-0.451862	0.377000	0.650451	0.118926	0.883402	-0.676883	-0.071073	-0.038443	-0.114924	0.233124	0.670322	0.855366	0.979978	0.774806	-0.224850	-0.567843	-0.724953	0.181544	0.347231	0.312630	-0.293608	-1.053256	-0.654587	0.039335	-0.448112	-0.053062	0.116027	-0.222523	-0.689853	-0.851489	-0.710628	-0.440107	0.541125	-1.354047	-0.787832	0.073728	0.784262	-0.535274	-1.193134	0.112088	-0.395209	-0.981991	-1.604861	-0.018629	-0.617289	-0.948214	-1.388909	0.299185	1.378020	1.483030	0.556271	0.031335	0.054328	0.853143
-1.064216	-0.823994	-1.001918	-1.151337	-0.717753	-1.115273	-0.757012	-0.621265	-0.218712	-1.046999	-0.254873	-0.049222	-0.826223	-0.248743	-0.073074	-0.525054	-0.426802	-1.010062	-1.089951	-1.128530	-0.517856	-0.895771	-0.956251	0.134948	-0.236284	-0.667288	-0.012359	-1.465605	-0.586861	-0.279332	0.061881	-0.079527	-0.924412	-0.925921	-0.226300	-0.243788	-0.047516	0.241501	-0.942843	-1.010107	-1.137259	-0.727227	-0.341954	-0.221240	-0.659684	-0.617124	0.071199	-0.459212	-0.534191	-0.861191	-0.524088	0.465959	-0.307473	-0.004333	-0.068978
-1.947903	-0.566128	-1.402014	-1.810362	-1.078587	-2.091270	-0.382599	-0.972086	-0.395801	-1.286451	-0.961006	-0.936905	-1.636615	-1.129764	-0.902788	-0.574000	-0.121601	-0.501278	-1.328905	-1.561669	-0.949534	-1.057346	-0.553955	0.625914	-0.937449	-0.384017	-0.466463	-2.007349	-0.538386	0.077045	0.756055	0.419237	-1.025001	-1.909266	0.773012	0.243669	-0.217792	-0.367434	-0.799469	-0.369847	-1.292946	-0.355432	0.480899	1.159024	-0.771635	-0.233220	0.878954	0.368641	-0.858456	-2.319147	-2.033016	-0.109096	-0.788832	-0.078248	-0.462417
-1.266347	0.218984	-0.119893	-0.504136	-0.480180	-1.125969	0.211883	-0.621161	-0.385669	-0.475511	-1.068799	-1.122937	-0.633707	-0.833974	-0.855313	-0.157570	0.109925	0.612384	-0.139686	-0.366945	-0.488010	-0.429085	0.022962	0.265480	-1.393373	0.328054	-1.018002	-0.715115	0.040653	0.162449	0.647785	0.281880	-0.375417	-1.277975	0.873575	0.156667	-0.196447	-0.479204	-0.026380	0.377807	-0.039746	0.526400	0.842621	1.401167	-0.187595	0.248863	0.682797	0.504865	-0.277996	-1.624081	-1.658732	-0.583609	-0.765566	-0.128916	0.068218
0.186272	0.777087	1.555285	1.190351	0.479521	0.242230	0.554311	0.349209	-0.054979	0.620067	-0.127923	-0.377449	0.952254	0.026144	0.020500	0.486896	0.213117	1.459225	1.139672	1.068224	0.398517	0.615333	0.641340	-0.457995	-0.877291	0.886616	-0.822476	1.136926	0.681324	0.275533	0.209122	-0.237068	0.684538	0.335577	0.514047	-0.275170	0.153342	-0.053188	0.798077	0.837318	1.163469	0.961789	0.671884	0.728939	0.370840	0.432656	-0.139879	0.338119	0.555040	0.138213	-0.195139	-0.254507	0.151553	-0.130910	0.604275
0.897382	0.622408	1.909712	1.409048	0.879876	0.360391	0.479140	1.094017	0.390895	1.063180	1.147184	0.521914	1.329646	0.274742	0.690216	0.703744	0.360336	1.397533	1.231988	1.208972	0.877909	1.270653	0.958570	-0.674023	0.331086	0.812078	0.261358	1.745186	0.789055	0.601667	0.094320	-0.510044	1.255999	1.258157	0.505409	-0.368477	0.479486	0.434470	1.046015	0.756084	1.033182	0.457629	0.408722	0.120513	0.352154	0.304149	-0.632571	0.340144	0.849730	1.113110	0.593940	0.567780	1.311415	-0.105881	0.251127
0.366211	0.052194	0.634324	0.098300	0.531798	-0.449546	0.257980	0.846143	0.493996	0.632702	1.617865	0.650211	0.148516	-0.356034	0.281235	0.117580	0.617188	0.596921	0.187364	0.057264	0.579771	1.045856	0.683412	-0.150533	1.228459	0.200834	1.408789	0.793429	0.287785	0.819837	0.287855	-0.215477	0.864939	0.737823	0.913679	0.165266	0.229047	0.457161	0.694633	0.251744	-0.086837	-0.410334	0.353905	0.110885	0.099203	0.184530	-0.340150	0.473647	0.501344	0.698985	-0.005510	0.707503	1.529540	-0.111598	-0.727253
-0.516444	-0.383451	-1.135395	-1.335779	-0.045894	-0.761038	0.116909	-0.247163	-0.069306	-0.266442	0.994985	-0.068718	-1.385156	-1.019342	-0.867213	-0.750558	0.641703	-0.300940	-1.095197	-1.210366	-0.252162	0.186487	0.023000	0.456907	1.298698	-0.493241	1.648275	-0.476590	-0.351716	0.517647	0.312151	0.302526	0.023143	-0.264177	1.032459	0.759973	-0.597622	-0.100053	0.187026	-0.243525	-1.006910	-0.861928	0.239789	0.312446	0.113528	0.143840	0.256107	0.476947	-0.074499	-0.292196	-1.051723	-0.264072	0.427886	-0.165164	-1.298279
