X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55
0.029599	-0.027590	-0.004517	-0.044442	0.060246	-0.092254	0.018312	0.037624	0.008580	0.020462	0.119125	0.027297	0.021655	0.242168	0.032829	0.073802	0.054746	0.001260	-0.016577	-0.032866	0.013920	0.130493	0.174631	0.077160	0.104088	-0.049058	-0.056844	-0.130242	-0.010929	0.097954	0.076179	0.132479	0.045544	0.072462	0.096392	0.118211	0.121873	0.126553	0.065636	0.088082	-0.067381	-0.002805	0.022412	0.049297	-0.014661	0.063050	0.151366	0.175134	-0.073517	-0.122097	-0.213362	-0.046164	0.071390	-0.161210	-0.038873
0.419779	-0.834460	-0.131174	0.363870	-0.003308	-0.778588	0.120376	0.523226	0.590676	0.516290	0.821683	0.294309	-0.084144	-0.007859	-0.189966	-0.504802	0.006781	-0.290375	-0.542744	0.149234	0.377637	0.092785	0.242727	-1.077963	0.436627	-0.281426	-0.391868	-0.496990	-1.040058	-0.246068	-0.240039	-0.361907	-0.209518	0.079795	-0.019124	-0.451723	0.926037	-0.006413	-0.069144	0.147132	-0.874927	-0.592899	0.279204	0.331167	0.434474	0.890790	-1.122749	-0.121219	-0.521356	-0.445593	-0.482928	-1.074087	0.913554	0.768789	-0.949033
0.150360	-0.599820	-0.335805	0.008769	-0.211608	-0.766317	0.420732	0.311092	0.370586	0.335153	0.523050	0.285189	-0.203026	-0.212985	-0.214573	-0.517841	0.312473	-0.313112	-0.525304	-0.045660	0.228419	0.189882	0.457257	-0.731767	0.452472	-0.156166	-0.011229	-0.223129	-0.654570	0.037538	-0.160735	-0.072571	-0.090098	0.319862	0.348754	-0.267633	0.328093	-0.306670	-0.072549	0.237378	-0.703883	-0.082590	0.362026	0.400606	0.544438	0.731230	-0.728310	0.188159	-0.398424	-0.539702	-0.545543	-0.846458	0.760870	0.723133	-0.406796
-0.526804	0.150193	-0.474795	-0.775607	-0.540290	-0.267203	0.534943	-0.360560	-0.531284	-0.451770	-0.674371	-0.158317	-0.474825	-0.389313	-0.191786	-0.334268	0.543272	-0.181101	-0.020569	-0.382614	-0.309079	0.039023	0.197567	0.451911	0.028523	0.123297	0.604008	0.307063	0.415876	0.588594	0.108080	0.392352	0.126286	0.539550	0.630516	0.183329	-0.833003	-0.770981	-0.280480	0.027639	0.117804	0.788728	-0.016836	-0.013834	0.023465	-0.492729	0.497202	0.481978	0.062616	-0.308474	-0.320619	0.213784	-0.209507	-0.062459	1.005253
-0.761457	0.252439	-0.305805	-0.973326	-0.688750	0.085446	0.191181	-0.603615	-1.064562	-0.958339	-1.426729	-0.671624	-0.773094	-0.434332	-0.242261	-0.477890	0.235849	-0.144345	0.458799	-0.289527	-0.584133	-0.554647	-0.751729	0.732730	-0.522732	0.205912	0.566025	0.321705	0.545733	0.572670	0.132430	0.145364	-0.012548	0.446513	0.124363	0.060555	-0.754815	-1.020811	-0.751618	-0.536382	0.544900	0.679344	-0.659589	-0.703628	-0.745384	-1.551385	0.639729	-0.065545	0.221152	0.061202	0.023491	0.708225	-0.839284	-0.520334	1.536964
-0.156836	-0.141390	0.227647	-0.220495	-0.273975	0.275397	-0.054405	-0.001801	-0.396494	-0.424902	-0.524851	-0.494496	-0.542768	-0.018953	-0.075183	-0.532095	-0.136494	-0.153359	0.628977	0.386096	-0.166371	-0.939232	-1.223858	-0.099443	-0.625500	0.246577	0.038858	-0.002334	-0.143350	-0.068033	-0.046569	-0.327183	-0.217318	0.323328	-0.669253	-0.377034	0.566761	-0.574572	-0.760381	-0.808271	0.382851	-0.066823	-0.691760	-0.754124	-0.684779	-0.976933	-0.291624	-0.931213	-0.017455	0.231166	0.196113	0.218574	-0.357334	-0.149990	0.664646
0.773769	0.165301	0.891047	0.747527	0.623223	0.759729	0.353831	0.849727	0.908837	0.707087	1.352939	0.477661	0.424309	0.924689	0.508201	0.192855	0.160935	0.045016	0.736546	1.131709	0.604487	-0.476614	-0.243110	-0.582568	-0.138150	0.579581	-0.056872	0.223584	-0.056903	-0.512360	-0.032057	0.023038	0.223779	0.587624	-0.719829	-0.276983	1.349209	0.397552	0.087930	-0.351913	0.419250	0.042441	0.276359	0.330176	0.519069	0.944928	-0.548342	-0.920012	-0.178360	0.098087	0.113496	-0.353313	0.641810	0.406805	-0.427591
1.152416	1.206943	1.272462	1.035818	1.222234	1.389402	0.837046	1.032570	1.349760	1.142343	1.973626	1.189106	1.312186	1.617511	1.004761	1.239326	0.814935	0.470565	1.043727	1.272897	0.934721	0.347763	1.146607	0.034745	0.326672	0.907190	0.409892	0.937794	1.033510	-0.245769	0.247161	0.869952	1.080418	0.892545	-0.141288	0.252096	0.608749	0.953148	0.856698	0.253497	0.936305	1.052720	1.220532	1.452533	1.425066	1.992319	0.475778	-0.054273	-0.096732	-0.140983	-0.060975	-0.341398	0.833828	0.265647	-0.664301
0.604049	1.394327	1.041387	0.591746	0.803326	1.305655	0.409602	0.390512	0.389300	0.406011	0.294722	0.700499	1.105558	1.036119	0.761343	1.361457	0.830936	0.828764	1.250077	0.643669	0.502374	0.558462	1.167861	0.680590	0.143543	0.553064	0.557068	0.842567	1.286240	0.273316	0.449023	0.893430	1.088791	0.442542	-0.022750	0.273118	-0.667535	0.473984	0.471139	0.279616	1.067852	1.267609	0.885293	0.977746	0.493189	0.718176	1.326813	0.456042	-0.196330	-0.352618	-0.221044	-0.205053	-0.204841	-0.536891	-0.328858
-0.358219	-0.091716	0.290057	0.070971	-0.267267	0.219819	-0.622037	-0.286335	-0.727302	-0.437190	-1.869070	-0.356488	0.044934	-0.569672	0.035107	0.348271	0.117503	0.863679	0.816369	-0.222909	-0.099970	0.163456	-0.039101	0.233189	-0.414527	-0.361715	-0.030824	-0.567513	-0.338546	0.404472	0.396787	-0.057992	-0.194571	-0.658522	-0.588405	-0.368801	-1.135351	-0.382855	-0.507697	0.006901	0.178441	-0.041319	-0.347084	-0.900211	-1.502545	-1.388196	0.781923	0.075859	-0.671774	-0.571628	-0.376172	-0.477544	-1.332191	-1.044053	-0.181143
