column	label_id	roi_name
X1	1	Frontal Pole
X2	2	Insular Cortex
X3	3	Superior Frontal Gyrus
X4	4	Middle Frontal Gyrus
X5	5	Inferior Frontal Gyrus, pars triangularis
X6	6	Inferior Frontal Gyrus, pars opercularis
X7	7	Precentral Gyrus
X8	8	Temporal Pole
X9	9	Superior Temporal Gyrus, anterior division
X10	10	Superior Temporal Gyrus, posterior division
X11	11	Middle Temporal Gyrus, anterior division
X12	12	Middle Temporal Gyrus, posterior division
X13	13	Middle Temporal Gyrus, temporooccipital part
X14	14	Inferior Temporal Gyrus, anterior division
X15	15	Inferior Temporal Gyrus, posterior division
X16	16	Inferior Temporal Gyrus, temporooccipital part
X17	17	Postcentral Gyrus
X18	18	Superior Parietal Lobule
X19	19	Supramarginal Gyrus, anterior division
X20	20	Supramarginal Gyrus, posterior division
X21	21	Angular Gyrus
X22	22	Lateral Occipital Cortex, superior division
X23	23	Lateral Occipital Cortex, inferior division
X24	24	Intracalcarine Cortex
X25	25	Frontal Medial Cortex
X26	26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
X27	27	Subcallosal Cortex
X28	28	Paracingulate Gyrus
X29	29	Cingulate Gyrus, anterior division
X30	30	Cingulate Gyrus, posterior division
X31	31	Precuneous Cortex
X32	32	Cuneal Cortex
X33	33	Frontal Orbital Cortex
X34	34	Parahippocampal Gyrus, anterior division
X35	35	Parahippocampal Gyrus, posterior division
X36	36	Lingual Gyrus
X37	37	Temporal Fusiform Cortex, anterior division
X38	38	Temporal Fusiform Cortex, posterior division
X39	39	Temporal Occipital Fusiform Cortex
X40	40	Occipital Fusiform Gyrus
X41	41	Frontal Opercular Cortex
X42	42	Central Opercular Cortex
X43	43	Parietal Opercular Cortex
X44	44	Planum Polare
X45	45	Heschl's Gyrus (includes H1 and H2)
X46	46	Planum Temporale
X47	47	Supracalcarine Cortex
X48	48	Occipital Pole
X49	49	Thalamus
X50	50	Caudate
X51	51	Putamen
X52	52	Pallidum
X53	53	Hippocampus
X54	54	Amygdala
X55	55	Accumbens
